Year,Primary Type,Annual,Cumulative
2014,CRIMINAL DAMAGE,27799,658461
2014,CRIMINAL TRESPASS,7539,167813
2014,DECEPTIVE PRACTICE,15973,194590
2014,MOTOR VEHICLE THEFT,9911,272881
2014,NARCOTICS,29118,650993
2014,OTHER OFFENSE,33202,658906
2014,ROBBERY,9800,213786
2014,THEFT,61568,1178926
2015,ASSAULT,17048,362640
2015,BATTERY,48925,1089128
2015,BURGLARY,13184,350561
2015,CRIMINAL DAMAGE,28677,687138
2015,CRIMINAL TRESPASS,6401,174214
2015,DECEPTIVE PRACTICE,16461,211051
2015,MOTOR VEHICLE THEFT,10068,282949
2015,NARCOTICS,23939,674932
2015,OTHER OFFENSE,33152,692058
2015,ROBBERY,9638,223424
2015,THEFT,57351,1236277
2016,ASSAULT,18742,381382
2016,BATTERY,50300,1139428
2016,BURGLARY,14289,364850
2016,CRIMINAL DAMAGE,31018,718156
2016,CRIMINAL TRESPASS,6306,180520
2016,DECEPTIVE PRACTICE,19382,230433
2016,MOTOR VEHICLE THEFT,11285,294234
2016,NARCOTICS,13333,688265
2016,OTHER OFFENSE,31659,723717
2016,ROBBERY,11960,235384
2016,THEFT,61623,1297900
2017,ASSAULT,19306,400688
2017,BATTERY,49239,1188667
2017,BURGLARY,13001,377851
2017,CRIMINAL DAMAGE,29045,747201
2017,CRIMINAL TRESPASS,6814,187334
2017,DECEPTIVE PRACTICE,19723,250156
2017,MOTOR VEHICLE THEFT,11380,305614
2017,NARCOTICS,11683,699948
2017,OTHER OFFENSE,32722,756439
2017,ROBBERY,11880,247264
2017,THEFT,64386,1362286
2018,ASSAULT,20406,421094
2018,BATTERY,49831,1238498
2018,BURGLARY,11747,389598
2018,CRIMINAL DAMAGE,27823,775024
2018,CRIMINAL TRESPASS,6909,194243
2018,DECEPTIVE PRACTICE,19898,270054
2018,MOTOR VEHICLE THEFT,9985,315599
2018,NARCOTICS,13593,713541
2018,OTHER OFFENSE,33853,790292
2018,ROBBERY,9681,256945
2018,THEFT,65289,1427575
2019,ASSAULT,20621,441715
2019,BATTERY,49520,1288018
2019,BURGLARY,9638,399236
2019,CRIMINAL DAMAGE,26682,801706
2019,CRIMINAL TRESPASS,6819,201062
2019,DECEPTIVE PRACTICE,19139,289193
2019,MOTOR VEHICLE THEFT,8977,324576
2019,NARCOTICS,15080,728621
2019,OTHER OFFENSE,34509,824801
2019,ROBBERY,7995,264940
2019,THEFT,62495,1490070
2020,ASSAULT,18256,459971
2020,BATTERY,41514,1329532
2020,BURGLARY,8758,407994
2020,CRIMINAL DAMAGE,24877,826583
2020,CRIMINAL TRESPASS,4177,205239
2020,DECEPTIVE PRACTICE,18463,307656
2020,MOTOR VEHICLE THEFT,9959,334535
2020,NARCOTICS,7493,736114
2020,OTHER OFFENSE,29740,854541
2020,ROBBERY,7855,272795
2020,THEFT,41335,1531405
2021,ASSAULT,20343,480314
2021,BATTERY,40467,1369999
2021,BURGLARY,6662,414656
2021,CRIMINAL DAMAGE,25095,851678
2021,CRIMINAL TRESPASS,3406,208645
2021,DECEPTIVE PRACTICE,17682,325338
2021,MOTOR VEHICLE THEFT,10603,345138
2021,NARCOTICS,5391,741505
2021,OTHER OFFENSE,30863,885404
2021,ROBBERY,7920,280715
2021,THEFT,40810,1572215
2022,ASSAULT,20807,501121
2022,BATTERY,40940,1410939
2022,BURGLARY,7593,422249
2022,CRIMINAL DAMAGE,27246,878924
2022,CRIMINAL TRESPASS,4223,212868
2022,DECEPTIVE PRACTICE,16759,342097
2022,MOTOR VEHICLE THEFT,21460,366598
2022,NARCOTICS,4754,746259
2022,OTHER OFFENSE,31798,917202
2022,ROBBERY,8962,289677
2022,THEFT,54877,1627092
2023,ASSAULT,22611,523732
2023,BATTERY,44190,1455129
2023,BURGLARY,7480,429729
2023,CRIMINAL DAMAGE,30071,908995
2023,CRIMINAL TRESPASS,4718,217586
2023,DECEPTIVE PRACTICE,16903,359000
2023,MOTOR VEHICLE THEFT,29241,395839
2023,NARCOTICS,5338,751597
2023,OTHER OFFENSE,33079,950281
2023,ROBBERY,11058,300735
2023,THEFT,57388,1684480
2024,ASSAULT,10346,534078
2024,BATTERY,20150,1475279
2024,BURGLARY,3237,432966
2024,CRIMINAL DAMAGE,12263,921258
2024,CRIMINAL TRESPASS,2092,219678
2024,DECEPTIVE PRACTICE,6581,365581
2024,MOTOR VEHICLE THEFT,9670,405509
2024,NARCOTICS,2582,754179
2024,OTHER OFFENSE,14944,965225
2024,ROBBERY,3968,304703
2024,THEFT,24402,1708882
