TSNE Component 1,TSNE Component 2,cluster,Beat
15.589545,5.3864565,1,111
12.409872,6.0838394,1,112
-8.323782,11.458671,2,113
15.653905,5.691864,1,114
-4.028842,13.577684,2,121
11.620149,3.3442557,1,122
15.593491,4.228785,1,123
9.208639,8.114068,2,124
7.5843096,-4.3477445,0,131
3.6051824,3.9711795,2,132
3.6532798,-1.7340972,0,133
4.533528,4.284488,2,211
6.0481944,-5.184949,0,212
-4.2989035,1.7719568,2,213
-4.5155487,5.1048284,2,214
-9.692037,3.4261417,2,215
-9.758679,5.626959,2,221
10.37594,-1.2365913,1,222
-0.6409704,4.8091745,2,223
-9.432598,2.1836839,2,224
-10.52428,6.3646617,2,225
-9.964701,3.9917107,2,231
-8.885516,1.1404113,2,232
-0.40215868,12.422529,2,233
11.114454,4.696072,1,234
-2.0121431,13.228859,2,235
-10.358069,2.273192,2,311
-0.4101408,-13.184461,0,312
-3.5462213,-3.6107893,0,313
-1.9375015,5.6867046,2,314
2.069518,-13.772562,0,321
-2.0662322,-8.370785,0,322
2.8405063,-11.5788965,0,323
1.5921835,-15.237299,3,324
4.5984845,-17.02375,3,331
2.3540163,-12.395191,0,332
-1.3727838,-0.71100855,0,333
-0.23525983,-5.956609,0,334
-0.89995754,-11.613023,0,411
3.6655526,-11.150639,0,412
2.0123696,-11.803042,0,413
4.672297,-15.788784,3,414
4.380277,-20.436565,3,421
-0.65038204,-9.854075,0,422
4.8948407,-18.303556,3,423
0.15572168,-14.022183,0,424
2.292592,-9.852213,0,431
-1.5849757,-7.114966,0,432
3.0617905,-4.433549,0,433
-8.6666565,8.237921,2,434
5.7697797,-18.260103,3,511
3.8407876,-12.683009,0,512
4.6399846,-11.807191,0,513
-0.5032003,-15.075797,0,522
5.4348617,-12.986816,0,523
3.9367225,-10.142741,0,524
-6.356259,-5.9899473,0,531
-7.929235,-6.416265,0,532
1.755342,-15.930208,3,533
2.084959,-14.7611885,3,611
3.8786066,-17.282679,3,612
0.56758696,-11.5651045,0,613
-2.058244,-2.6274183,0,614
2.8410575,-16.31999,3,621
6.4731836,4.14042,2,622
3.5259979,-15.654617,3,623
4.5147357,-20.069614,3,624
4.2043543,-19.00376,3,631
5.1658273,-16.52792,3,632
-6.2223945,-5.0580716,0,633
-1.6034687,-9.746646,0,634
-9.046107,-3.1424387,0,711
-6.3363724,-7.590378,0,712
-2.6204882,-12.769013,0,713
-11.447663,6.1512365,2,714
-11.589837,3.773897,2,715
-5.7413907,-8.459267,0,722
-4.3325562,-10.179618,0,723
-9.878142,-2.2425404,0,724
-1.8466583,-11.794695,0,725
-10.996551,1.4807557,2,726
-2.1547909,-9.815305,0,731
-8.122847,-5.3946285,0,732
-6.8501334,-6.945757,0,733
-8.998838,-2.0587215,0,734
-5.2850165,-7.354712,0,735
-2.0346313,8.988465,2,811
-2.6631103,7.757564,2,812
5.672066,-7.824209,0,813
-4.344544,7.371568,2,814
6.224542,-0.87839496,0,815
-0.5733028,6.477564,2,821
-3.003493,-3.2269642,0,822
4.346945,-17.902103,3,823
-3.643862,-4.775085,0,824
-3.5036342,-9.984054,0,825
1.924083,-13.007678,0,831
0.84126574,-13.322869,0,832
6.811171,0.93642944,0,833
7.344947,-7.0479684,0,834
7.2302275,-7.134666,0,835
-9.24498,5.7132673,2,911
-1.4175253,3.0031693,2,912
-2.4422288,2.8507657,2,913
5.8821397,7.679655,2,914
-2.6525373,1.7103535,2,915
-10.703334,4.8762865,2,921
-5.5772986,-4.168405,0,922
-2.9055555,5.1502995,2,923
-0.90100056,-4.90283,0,924
-8.022372,4.1001787,2,925
-11.533038,1.1622443,2,931
-10.160647,-2.9342752,0,932
-11.529982,2.6252127,2,933
-10.149121,-1.7353218,0,934
-10.592771,7.100549,2,935
1.0382404,-17.872477,3,1011
-9.636146,-0.23315033,2,1012
-0.05696306,-4.4544606,0,1013
-3.1595106,-9.065705,0,1014
-1.1515045,-12.916751,0,1021
-3.3157802,-7.0663686,0,1022
-0.28939512,2.454344,2,1023
-4.0380864,-8.207883,0,1024
-0.7431631,-3.5569992,0,1031
-12.138927,4.3929687,2,1032
-10.704527,3.263646,2,1033
-4.6424303,-3.8622994,0,1034
-4.1928854,-6.0596647,0,1111
-6.159876,-16.413977,4,1112
