TSNE Component 1,TSNE Component 2,cluster,Beat
21.39996,-0.3711145,3,111
21.162678,-0.6966795,3,112
15.229548,-2.7219505,2,113
17.848938,-3.2080483,2,114
12.093694,-6.2244344,2,121
20.191423,-1.7264087,2,122
19.335554,-1.9912707,2,123
18.36431,-2.7638319,2,124
9.111277,-1.8793659,1,131
9.293077,-2.374383,1,132
7.724192,0.37835833,1,133
8.70712,-0.20371781,1,211
1.3453101,5.078956,0,212
-3.8442614,0.5353615,1,213
-0.9817785,-4.3537345,1,214
-7.1143804,-7.793819,1,215
-6.647033,-7.960227,1,221
10.050853,-0.2657813,1,222
2.33162,0.74763906,1,223
-10.087236,-1.6726038,1,224
-8.473377,-7.9251256,1,225
-7.8847194,0.38847324,1,231
-9.164881,-6.2868967,1,232
-1.0162972,-11.630717,1,233
9.591576,-3.4347708,1,234
0.45076743,-11.422447,1,235
-8.438412,-6.407139,1,311
-5.2738547,12.413543,0,312
-6.094557,4.705236,0,313
-4.039238,-2.7658217,1,314
-4.028598,11.818815,0,321
-4.6863294,8.687123,0,322
-3.5880556,8.3171425,0,323
-2.3832538,12.194233,0,324
-1.4298021,12.197555,0,331
-2.3798015,10.942451,0,332
1.2019997,-0.016801309,1,333
-7.206735,2.201627,1,334
-0.2595356,5.44655,0,411
-0.7146358,6.0844502,0,412
-1.3748536,5.5710244,0,413
-0.97784007,13.637355,0,414
-3.2337914,16.68918,0,421
-8.009324,3.616504,1,422
-1.8737209,16.276878,0,423
-8.216228,6.0976243,0,424
1.7017728,5.725348,0,431
-6.9952745,-0.2904265,1,432
-5.906624,-3.502388,1,433
-7.75611,-9.155749,1,434
-1.286648,16.294624,0,511
-2.7716641,9.617267,0,512
0.9313327,12.492388,0,513
-5.69711,7.3083057,0,522
-3.3703885,10.797072,0,523
-2.1721222,7.3712897,0,524
-6.158157,1.4279683,1,531
-8.93497,3.8791173,1,532
-4.28337,12.98344,0,533
-4.3038387,10.737295,0,611
-2.2034461,15.46228,0,612
-3.6990643,9.737033,0,613
-3.7654083,2.8485737,1,614
-3.3710074,15.109795,0,621
15.917335,-1.7694176,2,622
-2.9019482,14.639362,0,623
-2.640329,16.760637,0,624
-2.562849,16.024866,0,631
-0.3064396,13.1091385,0,632
-5.90039,-0.12636445,1,633
1.3727403,3.4644403,1,634
-6.7314124,3.020641,1,711
-6.998537,10.0933895,0,712
-7.439708,11.193663,0,713
-9.521796,-5.1377144,1,714
-9.0033245,-4.878051,1,715
-10.46194,2.627976,1,722
-8.92733,7.7292438,0,723
-9.585263,2.8322163,1,724
-6.1164575,10.369344,0,725
-9.027688,-3.0995297,1,726
-6.616798,7.9982543,0,731
-9.882999,3.7585917,1,732
-8.845091,5.394217,0,733
-7.919453,2.3799455,1,734
-4.035848,7.249053,0,735
-1.3518989,-8.249527,1,811
-5.238398,-8.08202,1,812
2.5138836,8.066073,0,813
4.448225,-7.5289383,1,814
6.019963,-0.074108236,1,815
2.2267718,-5.603505,1,821
-5.303032,1.1854479,1,822
0.10174999,13.079996,0,823
-4.54566,2.2188077,1,824
-5.582676,11.040382,0,825
-2.8796892,11.824909,0,831
-5.2056737,10.076657,0,832
12.55011,-0.49826086,2,833
1.6683345,7.8840265,0,834
1.6450937,7.829805,0,835
-7.0499697,-10.938428,1,911
3.8629246,-5.5347924,1,912
-2.993133,-3.8979084,1,913
8.2055235,-4.227347,1,914
3.18683,-0.5968691,1,915
-8.420694,-4.6503696,1,921
-5.2735815,0.31516185,1,922
-4.0467715,-5.3542504,1,923
2.760513,-1.3608687,1,924
-1.032801,-6.2781534,1,925
-7.6852374,-0.36915603,1,931
-9.5212145,-4.3955126,1,932
-10.330658,-2.5158646,1,933
-9.218637,-1.2635422,1,934
-7.4077983,-8.819708,1,935
-9.373041,15.490874,4,1011
-11.217789,12.106174,0,1012
-0.123519294,4.5444355,0,1013
-9.20377,10.40516,0,1014
-9.741047,12.712502,0,1021
-10.628761,14.798309,4,1022
0.81838065,-1.7592221,1,1023
-8.724997,9.093966,0,1024
-5.7241516,2.489236,1,1031
-8.541911,-8.757036,1,1032
-10.788619,-3.8785474,1,1033
-1.3652664,0.9118487,1,1034
-7.093684,0.69260573,1,1111
-10.799186,17.04775,4,1112
-11.238918,8.909091,0,1113
-11.703269,12.075676,1,1114
-11.255499,14.928425,4,1115
-10.648282,15.698955,4,1121
-9.781102,15.32883,4,1122
-7.6951,8.36015,0,1123
-11.219583,-1.9922196,1,1124
-6.8558564,-12.988468,1,1125
-11.658159,8.712255,1,1131
-10.529421,16.255726,4,1132
-8.357776,13.229752,0,1133
-10.777248,15.148863,4,1134
-10.054959,12.022327,0,1135
0.20300882,-5.036521,1,1211
3.400264,-8.46816,1,1212
8.547266,-6.386827,1,1213
17.836388,-4.3354597,2,1214
13.656059,-4.658379,2,1215
6.1241393,-3.5296693,1,1221
-0.32310733,-1.2953076,1,1222
10.942837,-0.18939412,0,1223
16.257748,-4.0456843,2,1224
-4.9437222,-1.0631931,1,1225
5.173191,-4.124426,1,1231
16.799053,-2.8494124,2,1232
2.5067034,1.776681,1,1233
-5.722783,-4.814167,1,1234
-1.8158714,-5.607569,1,1235
3.0809357,-8.999548,1,1411
0.0815936,-6.26518,1,1412
-2.0245223,-12.7544,1,1413
12.905192,-5.263254,2,1414
-0.6203372,-7.290026,1,1421
-4.1101007,-1.105594,1,1422
-7.5860524,-6.832591,1,1423
17.689539,-2.135189,2,1424
7.3581023,-8.414778,1,1431
14.602859,-5.366446,2,1432
14.122756,-5.159919,2,1433
15.4755,-5.1970825,2,1434
-7.934088,1.7066865,1,1511
-9.072395,0.45044425,1,1512
-10.327499,-0.60804135,1,1513
-1.5346327,13.291951,0,1522
-7.3840327,6.999334,0,1523
-8.828854,10.914733,0,1524
-7.8912497,9.49607,0,1531
-6.4468665,9.551272,0,1532
-5.280235,15.883007,0,1533
-5.221003,-12.964335,1,1611
-3.7300484,-12.134301,1,1612
-3.3920376,-12.530497,1,1613
-4.593181,-11.471941,1,1614
-4.8696613,-14.776264,1,1621
2.7630394,-3.2364395,1,1622
5.4770975,-2.500424,1,1623
-4.181453,-7.3255577,1,1624
-6.5846486,-10.489792,1,1631
-5.421295,-11.088528,1,1632
2.129006,0.10126891,1,1633
-8.725969,1.4698968,1,1634
7.293474,-9.0297575,1,1651
-6.631648,-15.381778,1,1652
-6.133043,-14.934468,1,1653
-3.6755652,-15.69583,1,1654
-6.199453,-15.501585,1,1655
-0.23530002,-9.141838,1,1711
6.843068,-0.79528487,1,1712
-1.0118283,-12.438955,1,1713
7.599103,-3.6757307,1,1722
