TSNE Component 1,TSNE Component 2,cluster,Beat
-17.185099,13.317917,3,111
-17.802588,13.703885,3,112
-4.23821,4.9417343,4,113
-4.903803,9.512136,0,114
12.331087,7.878075,2,121
-16.069675,10.75542,3,122
-17.223944,11.08793,3,123
-15.073451,14.020306,3,124
-12.633445,-0.64377254,1,131
-3.3676968,7.104812,4,132
-6.4050145,6.961876,0,133
-1.6974444,7.3635263,4,211
-6.667663,-1.2265067,4,212
4.1716785,-3.1860785,4,213
-3.45443,-0.00028333568,4,214
6.211851,-2.1881633,2,215
7.581711,-3.6272726,2,221
-13.268263,5.9518285,0,222
-1.8176664,-0.38897043,4,223
4.8605266,-7.4646263,4,224
15.246502,0.39625517,2,225
5.3760014,-7.884656,4,231
9.484376,-3.6295567,2,232
13.159406,4.5060577,2,233
-11.014336,8.919634,0,234
13.947386,3.492586,2,235
7.6239996,-7.7964644,2,311
-3.5679357,-10.031466,4,312
-2.7118998,-2.6239154,4,313
-0.76458466,-4.6900406,4,314
-11.018367,-5.285148,1,321
-0.092950396,-2.5230715,4,322
-10.086628,-4.592842,1,323
-9.2058,-5.3745093,1,324
-11.746785,-4.690696,1,331
-6.9941335,-3.692728,4,332
1.1580018,-3.7608526,4,333
-5.663776,-6.5171595,4,334
-0.98156613,-3.4160895,4,411
-5.417938,1.6490159,4,412
-2.924569,0.83452624,4,413
-12.538283,-1.8721262,1,414
-13.998899,-6.117812,1,421
1.5117683,-7.384992,4,422
-12.43292,-3.9843256,1,423
-4.089085,-5.1642003,4,424
-6.031121,-0.97165215,4,431
-0.9454692,-1.4671909,4,432
-1.7835763,3.3709817,4,433
13.71925,-3.1760597,2,434
-12.40537,-3.058855,1,511
-7.8545814,-5.3911037,1,512
-14.427535,5.866904,1,513
3.4087589,-5.307203,4,522
-1.5788314,2.1122873,4,523
-7.086772,-2.2832868,4,524
2.3665957,-2.7555225,4,531
6.1740513,-5.796367,4,532
-7.698931,-6.2898784,1,533
-3.3939087,-7.339316,4,611
-12.59714,-6.434039,1,612
-2.2015615,-1.3521357,4,613
2.6270914,-0.833977,4,614
-12.0062065,-5.8336067,1,621
-2.9666793,-0.54772735,4,622
-10.646702,-3.809038,1,623
-13.460501,-5.3205423,1,624
-13.255317,-5.6698933,1,631
-13.241137,-0.24898587,1,632
2.8686903,-1.6331503,4,633
2.1057682,-7.5339127,4,634
3.7069256,-8.300658,4,711
2.4619493,-9.904865,4,712
3.2989233,-9.619919,4,713
15.415445,-4.338275,2,714
14.331594,-5.1340833,2,715
0.103366435,-9.168035,4,722
4.8896437,-6.0612364,4,723
11.959106,-5.9933763,2,724
6.235967,-7.331021,4,725
14.923876,-3.6958387,2,726
-1.2323011,-8.012065,4,731
8.253762,-9.244689,2,732
8.737211,-6.978528,4,733
11.382645,-5.486124,2,734
10.053353,-6.2648597,2,735
6.8543572,-0.05054794,2,811
6.853092,-0.61120737,2,812
-10.175042,-0.7081692,1,813
6.757736,1.0454692,2,814
-4.277983,3.0454242,4,815
-8.290633,9.544804,0,821
-0.21909475,2.4892516,4,822
-13.487684,-3.8277533,1,823
-0.03637356,1.130027,4,824
-2.649765,-8.792579,4,825
-7.991597,-7.7861104,1,831
-2.8983674,-4.8523736,4,832
-12.336455,3.174215,0,833
-9.224837,-0.030714389,1,834
-9.13687,-0.55227095,1,835
12.545276,-4.3718586,2,911
-5.9967165,10.675982,0,912
1.8911363,-4.572654,4,913
-5.9487095,11.528239,0,914
-3.3937554,8.325266,4,915
13.457665,-5.47195,2,921
-5.9594703,4.317687,4,922
2.2017715,0.20155957,4,923
1.0982391,-6.3040633,4,924
4.8427405,-4.693599,2,925
5.635262,-10.192978,4,931
10.843876,-7.37884,2,932
11.087289,-4.5725145,2,933
11.134218,-6.371929,2,934
14.682313,-5.8766127,2,935
-7.0543985,-8.319381,4,1011
4.7254295,-9.316793,4,1012
0.24330302,-11.45855,4,1013
1.8047642,-10.538731,4,1014
-6.8528175,-9.859195,4,1021
-1.0171561,-10.029188,4,1022
11.70946,-3.5745132,2,1023
4.3145304,-6.519774,4,1024
-4.9311194,-2.15369,4,1031
9.604265,-8.984921,2,1032
-0.12636909,-5.0492873,4,1033
-7.2420335,5.454127,4,1034
9.430617,-2.820874,2,1111
4.2210627,7.5260477,4,1112
8.184361,-6.8045397,4,1113
16.839151,-4.6084285,2,1114
7.85754,-5.5619025,4,1115
4.749535,8.577732,4,1121
4.420983,7.6527777,4,1122
0.9538766,-10.037193,4,1123
6.3742003,-9.320057,4,1124
17.216763,-2.488116,2,1125
11.4064045,-8.930321,2,1131
4.418158,7.218068,4,1132
-7.198196,-8.894535,4,1133
1.9371927,-11.389908,4,1134
-1.4600708,-8.582023,4,1135
5.2934623,-1.4994025,4,1211
12.72008,6.1277494,2,1212
-4.8432555,11.636658,0,1213
-15.587295,12.774581,3,1214
-11.067051,3.7511253,0,1215
-5.3764224,12.275499,0,1221
9.48364,2.244728,2,1222
-6.8578353,3.699641,4,1223
-15.662586,11.4608755,3,1224
-4.3039083,0.17514561,4,1225
-8.957556,8.298725,0,1231
-14.3681965,10.856711,0,1232
-8.484356,4.121915,4,1233
-3.6208804,-1.5987896,4,1234
-3.7808821,1.1529821,4,1235
13.75823,4.0998893,2,1411
12.732877,2.7167337,2,1412
15.851798,-0.38081315,2,1413
-12.015026,13.177349,0,1414
12.397562,3.8319323,2,1421
2.376225,0.5297934,4,1422
11.890163,0.88336045,2,1423
-13.771175,12.706928,0,1424
-9.983849,12.328675,0,1431
-11.713841,13.7810335,0,1432
-8.747913,12.336703,0,1433
-8.761452,13.301156,0,1434
2.8973274,-7.442395,4,1511
6.1929226,-8.800441,2,1512
1.2979133,-8.864153,4,1513
