TSNE Component 1,TSNE Component 2,cluster,Beat
-7.813479,11.885989,0,111
-9.625478,6.3458934,3,112
-8.010246,12.79511,0,113
-16.92803,-5.644688,3,114
-16.734346,-6.229729,3,121
-5.085411,17.52642,0,122
-7.4734693,13.1631155,0,123
-7.123998,11.77132,0,124
-5.1339626,15.261787,0,131
-3.6395812,16.429008,0,132
-10.169121,4.9385505,3,133
5.0323253,-11.315163,4,134
-3.2245073,-7.450307,1,211
2.038972,-11.100687,4,212
-6.304126,-4.8421965,3,213
-10.067123,-5.478332,3,214
-17.773237,-5.8760753,3,215
-12.435294,-5.2540784,3,221
-5.4012885,-6.6076336,3,222
-5.6784525,-5.4036703,3,223
-9.664316,-7.0657268,3,224
-18.331858,-6.1007695,3,225
-15.041259,-5.541957,3,231
-1.7935683,-2.8766394,1,232
6.5185666,-6.231895,1,233
-5.358361,-8.392436,1,234
-17.50486,-6.357736,3,235
-6.0896907,-8.029769,3,311
13.765116,-3.5905201,2,312
13.829585,-3.5883374,2,313
1.416385,-1.68732,1,314
15.820039,0.042211812,2,321
7.6136045,-2.914629,1,322
12.464916,1.3586228,2,323
13.618439,2.0778675,2,324
11.92219,1.2541206,2,331
11.02273,1.9147499,2,332
-2.4963148,7.1249146,1,333
4.5054293,-2.405517,1,334
5.59545,7.8212776,1,411
5.6084623,7.93997,1,412
7.4040895,4.529271,1,413
18.3304,0.6120926,2,414
19.89144,-1.2853333,2,421
11.355601,-3.6248457,2,422
19.728378,0.0745964,2,423
12.356195,2.17877,2,424
-16.5822,-6.854214,3,430
7.9814496,4.43386,1,431
6.883195,3.0976229,1,432
3.748126,0.5068781,1,433
-11.186906,-4.3953013,3,434
18.83568,0.87533885,2,511
16.873093,-0.53054976,2,512
14.718025,0.4170865,2,513
17.538368,0.10042252,2,522
12.198233,3.017341,2,523
11.78691,2.1325533,2,524
8.775105,-3.0456452,1,531
3.596532,1.8058227,1,532
4.687127,-5.3219995,1,533
15.389997,-2.5966988,2,611
18.637487,-0.7001376,2,612
11.105407,-1.3023915,2,613
8.265497,-1.8353987,1,614
17.987488,-1.0608006,2,621
-5.842862,-2.3234901,1,622
10.597923,-1.943223,2,623
20.17915,-1.1403055,2,624
15.331124,1.241134,2,631
2.7125232,11.160092,0,632
-2.103051,-5.91137,1,633
4.4387603,9.845561,1,634
15.693642,-1.3635398,2,711
15.330023,-0.750457,2,712
18.369598,-2.331076,2,713
6.0774994,-5.1895833,1,714
6.014485,-2.9506226,1,715
3.7520242,-3.7904267,1,722
14.042986,-1.8621912,2,723
6.8639946,-3.7800272,1,724
16.09795,-2.3615725,2,725
12.017544,-4.421599,2,726
5.1788535,-3.8663802,1,731
5.6850076,-5.929899,1,732
13.409238,-1.1651714,2,733
6.4861393,-4.638403,1,734
12.576925,-0.09089863,2,735
0.10988485,5.743455,1,811
-2.9706,1.9726039,1,812
7.8521986,7.99565,2,813
4.3412,-6.8377295,1,814
2.5128999,7.3302445,1,815
-3.632755,8.880078,1,821
6.5112395,2.9738348,1,822
18.73481,-0.24225913,2,823
11.290758,-2.1175003,2,824
18.37983,-1.7932225,2,825
15.291847,1.7311915,2,831
14.229482,0.66691184,2,832
-2.6692634,15.387243,0,833
8.118335,7.4454236,2,834
7.9112225,7.325306,2,835
3.8204057,-0.69843274,1,911
9.673626,1.2620394,1,912
3.1802373,5.4619493,1,913
4.415744,8.520664,1,914
