TSNE Component 1,TSNE Component 2,cluster,Beat
-7.733506,-15.576105,0,111
-6.2483077,-15.90929,0,112
-5.4725814,-16.098263,0,113
12.027919,-16.675394,3,114
12.224961,-17.237316,3,121
-12.354225,-17.647806,0,122
-11.911288,-15.713062,0,123
-1.6216215,-15.726113,3,124
-12.398083,-14.681597,0,131
-13.072885,-13.963776,0,132
1.6397519,-15.500144,3,133
8.755619,13.873641,4,134
5.5989356,18.202599,1,211
5.6429873,7.1651955,4,212
6.0893717,-6.27801,3,213
10.415628,-7.6704025,3,214
5.2049484,18.225801,1,221
3.2658079,3.0151925,2,222
3.0028992,-2.9084835,2,223
8.778169,-5.829213,3,224
10.981623,-16.780088,3,225
7.43197,-4.9017043,3,231
4.7886357,2.4212985,2,232
0.6765555,6.1394234,2,233
4.835345,1.8671452,2,234
5.6256003,6.202776,2,311
-2.7918942,9.140876,4,312
0.26616293,15.275067,4,313
-0.0049420483,-1.8506829,2,314
-2.9671519,14.282135,4,321
-1.9787692,6.199844,2,322
-5.1088157,3.0549626,2,323
-3.1230853,12.122522,4,324
-5.6625924,4.995323,2,331
-2.4493356,5.629714,2,332
-1.2320584,-2.953598,2,333
-1.8145163,4.3933396,2,334
-6.7956448,-4.166593,2,411
-8.433898,-4.0596666,2,412
-4.4149704,3.3174992,2,413
-5.90835,13.299224,4,414
-5.6293993,15.148155,4,421
1.4807723,9.026919,2,422
-6.333788,14.739505,4,423
-2.185776,7.8027954,4,424
-5.7835903,1.6414716,2,431
-6.7615104,0.86610246,2,432
-0.12734996,-4.3648896,2,433
7.4860225,-7.950389,3,434
-5.4302926,12.697988,4,511
-3.7239387,12.795911,4,512
-3.2704918,10.825849,4,513
-2.0995512,15.491681,4,522
-2.581654,10.996628,4,523
-1.6568795,10.091747,4,524
-1.6023406,7.124879,2,531
2.8220541,4.488986,2,532
-2.3586066,12.899573,4,533
0.63174313,10.976681,4,611
-5.4006643,11.423945,4,612
-3.8103724,5.9474773,2,613
-2.4477322,1.359535,2,614
-3.448954,13.921069,4,621
-9.871788,-14.451658,0,622
-11.9745245,-7.73696,0,623
-3.6036603,14.548469,4,624
-5.572334,9.991041,4,631
-11.674009,-8.381323,0,632
4.276581,-3.6099675,2,633
7.54533,1.6310791,2,634
0.99714106,12.914628,4,711
-0.11515996,17.212452,4,712
0.9573429,18.104288,1,713
2.8481743,3.8409398,2,714
2.0975122,4.860511,2,715
0.87657094,4.654959,2,722
-1.2944077,8.665453,4,723
1.6103728,5.3647337,2,724
-3.8698976,12.130769,4,725
1.3545592,7.884459,4,726
1.500381,3.962406,2,731
4.257924,13.211288,4,732
-0.17247744,7.5429945,4,733
1.9912156,6.91707,2,734
-0.2983016,6.7629623,2,735
-2.981974,-7.480366,2,811
1.6548887,-7.5546107,2,812
-9.940175,-7.297703,0,813
-4.343683,4.8691688,2,814
-10.296748,-6.068872,0,815
-1.9723119,-10.60206,2,821
-3.6280851,0.0019863402,2,822
-5.326392,14.139298,4,823
-0.3577563,11.147815,4,824
-4.3829675,14.80908,4,825
-5.442002,6.6526103,2,831
-1.0353074,11.925561,4,832
-12.998953,-16.301199,0,833
-7.8883786,-1.6735913,2,834
-6.78943,-1.6173092,2,835
-3.2065418,-2.428499,2,911
-7.534447,3.854042,2,912
-3.6638236,-1.8384186,2,913
-7.9172063,-5.4073014,2,914
3.0303395,7.2907705,2,915
7.1932726,-10.939127,3,921
-5.5244102,-10.277098,2,922
-4.0492253,-7.8209853,2,923
-2.7653427,-0.9050872,2,924
8.546448,-7.6574726,3,925
3.6730428,2.0355725,2,931
4.276855,9.330851,4,932
4.868241,5.682988,2,933
3.392175,13.444563,4,934
3.548444,15.993419,4,935
3.419542,15.149169,4,1011
3.0822887,14.537511,4,1012
1.2542018,-2.307211,2,1013
5.552185,4.949425,2,1014
3.8985636,14.046695,4,1021
2.3903763,10.883952,4,1022
5.997584,1.2958492,2,1023
3.1479082,9.419522,4,1024
0.72339827,-2.529636,2,1031
6.4212403,-7.243671,3,1032
3.6251228,-5.0212646,2,1033
-6.4310703,-4.12748,2,1034
1.7440788,15.095396,4,1111
2.8815992,22.031649,1,1112
-9.17805,8.768264,2,1113
9.578699,-6.9978914,3,1114
6.506495,5.518695,2,1115
2.5742598,18.770912,1,1121
2.6973665,17.646622,1,1122
3.8306084,18.251657,1,1123
4.4113092,20.211405,1,1124
5.3501496,19.096922,1,1125
4.5847054,20.893372,1,1131
4.3472257,14.743464,4,1132
2.296439,15.096447,4,1133
6.636297,0.42418748,2,1134
3.561111,19.052347,1,1135
8.784965,8.746557,2,1211
-8.474085,-14.981861,0,1212
-1.4871488,-12.899207,3,1213
12.04537,-15.917518,3,1215
12.705198,-16.190022,3,1221
3.984333,-1.3745397,2,1222
1.8113759,-1.8579332,2,1223
-10.123931,-13.969295,0,1224
13.000304,-16.765297,3,1225
7.826015,14.574716,4,1231
8.499599,-13.569678,3,1232
6.578199,-12.095065,3,1233
12.479897,-17.971342,3,1234
12.969681,-17.43685,3,1235
5.6230335,0.046997968,2,1311
-4.5410957,-10.662225,2,1312
-3.3757508,-10.343436,2,1313
0.4956778,-11.750814,3,1322
-9.58569,-13.034375,0,1323
-1.4215101,-9.24429,2,1324
-9.161873,8.739116,2,1331
6.7937884,-1.1424906,2,1332
5.442345,-10.432399,3,1333
-1.3898687,-6.250453,2,1411
-2.2288003,-2.9834673,2,1412
2.1449203,-0.5423202,2,1413
-0.91386944,-10.653216,2,1414
-2.938675,3.7491457,2,1421
1.3886756,10.968023,4,1422
1.9239382,14.121354,4,1423
-8.193856,-11.71611,0,1424
-2.59119,-11.42621,2,1431
-10.622712,-15.098412,0,1432
-10.11886,-11.694514,0,1433
-10.245867,-11.78668,0,1434
3.46942,12.584748,4,1511
3.3952482,10.497792,4,1512
5.551106,4.249571,2,1513
2.004522,20.267452,1,1522
1.6199944,18.835936,1,1523
3.535099,19.576107,1,1524
3.434714,21.193659,1,1531
3.1140363,20.463785,1,1532
2.4662595,21.336742,1,1533
7.253334,-14.154842,3,1611
7.693431,-14.703794,3,1612
6.5404873,-14.151439,3,1613
0.31188464,-13.207279,3,1614
8.260484,-15.201997,3,1621
-3.9824438,-6.0842566,2,1622
-2.831041,-6.033615,2,1623
-2.4435465,-6.019984,2,1624
2.134903,-8.121006,3,1631
-2.6282113,-8.046046,2,1632
-8.826805,-6.993073,2,1633
-0.26711947,0.68416274,2,1634
-3.9098186,-16.294804,0,1651
3.0331674,-11.918765,3,1711
-7.901387,-8.323993,2,1712
3.3407197,-1.3021508,2,1713
-7.019553,-9.703405,0,1722
-5.3384085,4.0557685,2,1723
0.3055447,-7.0501046,2,1724
-6.845505,-7.83798,2,1731
-7.521375,-8.173855,2,1732
-4.3033,-9.798583,2,1733
-10.940583,-15.69785,0,1811
-8.085264,-13.437595,0,1812
1.225394,-14.368883,3,1813
-0.34249228,-14.978923,3,1814
-11.978751,-12.60642,0,1821
7.026521,12.539218,4,1822
7.97168,14.060649,4,1823
-11.300887,-12.997722,0,1824
-11.170358,-13.867443,0,1831
-5.224038,-15.686903,0,1832
-12.002451,-16.765781,0,1833
-12.420897,-17.627148,0,1834
5.5056863,-14.53135,3,1911
2.0508878,-12.53333,3,1912
8.980468,-0.8985261,2,1913
11.554991,-17.213482,3,1914
0.9683584,-13.468231,3,1922
-7.055256,-11.3271675,0,1923
-5.025156,-12.2418785,0,1924
11.062493,-17.635345,3,1925
-7.7601113,-14.416834,0,1931
-8.06284,-14.173689,0,1932
-8.631611,-13.321132,0,1933
11.393521,-16.180483,3,1934
11.75444,-18.043894,3,1935
-0.6227644,-7.2669296,2,2011
6.913929,-13.266243,3,2012
5.435171,-12.099625,3,2013
8.7229395,-12.277856,3,2022
5.887127,-11.134524,3,2023
9.053743,-8.848922,3,2024
6.7049074,-12.801126,3,2031
5.6988087,-13.165388,3,2032
7.9780197,-11.292049,3,2033
6.4285674,-15.161438,3,2111
6.1145,-10.03376,3,2112
7.3460283,15.162067,4,2113
-3.2768226,-12.957009,2,2122
-1.816747,4.9154463,2,2123
-0.5454477,-6.2638083,2,2124
1.643971,-11.639203,3,2131
-7.751914,-10.428576,0,2132
2.5153773,-15.078817,3,2133
-1.8128372,-7.3151727,2,2211
-8.403945,-2.5314069,2,2212
0.8732276,-6.012858,2,2213
-0.6627469,-8.594944,2,2221
-1.3070141,3.0442617,2,2222
-1.939801,2.752394,2,2223
2.9105978,7.8386216,2,2232
-3.3540735,4.3741455,2,2233
2.3339412,7.6140113,2,2234
7.743229,3.0487747,2,2311
8.1560955,-9.823655,3,2312
9.017036,-8.159804,3,2313
4.5617523,-12.997069,3,2322
4.8089676,-13.525296,3,2323
5.109629,-11.998397,3,2324
-0.7329929,-14.023377,3,2331
-0.78482175,-14.682675,3,2332
-1.5908982,-14.709293,3,2333
-3.5027928,-8.544323,2,2411
-1.4054428,-8.268214,2,2412
-7.301291,-2.7361429,2,2413
7.70627,0.55708015,2,2422
1.481632,-3.3546686,2,2423
3.2760644,0.8177672,2,2424
8.246736,-8.769172,3,2431
-3.6847346,1.2005403,2,2432
-7.3848543,-6.773478,2,2433
0.16505283,-5.386186,2,2511
-10.09974,-8.252609,0,2512
0.9317089,-12.382161,3,2513
-5.7836523,-6.1471953,2,2514
-2.1827147,0.17554946,2,2515
-10.238444,-5.3973436,2,2521
1.3492023,-0.14238206,2,2522
-5.5119643,-5.8516006,2,2523
-1.6379737,-2.4330504,2,2524
3.4033062,-0.7466735,2,2525
5.0333233,14.267724,4,2531
2.2731202,15.869169,4,2532
8.081225,10.1733265,4,2533
7.1735964,10.547001,4,2534
6.2697906,11.548494,4,2535
