TSNE Component 1,TSNE Component 2,cluster,Beat
-10.047119,10.911524,0,111
-10.871287,9.427266,0,112
-10.635757,9.564655,0,113
-19.141369,-10.364476,1,121
-9.463199,14.492063,0,122
-10.325993,12.036046,0,123
-11.0583935,7.2262855,0,124
-10.351165,11.17937,0,131
-8.531448,13.813662,0,132
-11.241864,6.1931863,3,133
4.9282684,-10.028397,3,134
-4.356534,-6.578544,3,211
17.90075,-5.356264,4,212
-5.1760707,-6.2249775,3,213
-12.600028,-7.324087,1,214
-17.8653,-9.647429,1,215
-14.22772,-6.9691186,1,221
-3.6058586,-5.5094867,3,222
-5.3378453,-4.9429984,3,223
-10.592192,-8.164593,1,224
-18.536236,-10.748658,1,225
-16.592632,-8.599305,1,231
-2.3093941,-5.5154037,3,232
5.3414345,-0.8752014,3,233
-2.6488492,-5.683121,3,234
-18.512974,-10.077575,1,235
-5.254378,-7.3888497,3,311
14.738812,0.45198408,2,312
14.775572,0.44023147,2,313
-1.3488518,-1.8167363,3,314
16.821724,2.681051,2,321
9.578532,-0.9210949,2,322
12.124635,3.102671,2,323
13.237122,3.2604074,2,324
7.694177,3.879122,2,331
7.7974033,4.481286,2,332
-4.734013,5.342657,3,333
4.940103,0.29593652,3,334
6.04311,5.115247,2,411
5.9473386,5.7462187,2,412
6.725641,3.6568851,2,413
15.913538,5.1228027,2,414
18.34934,3.7549894,2,421
9.817538,-0.11497777,2,422
18.48627,4.798761,2,423
13.815995,5.161815,2,424
-17.274914,-9.428882,1,430
4.3978386,6.1083074,2,431
2.8865561,3.0671408,2,432
-3.5034692,-0.5037776,3,433
-13.331887,-7.3923182,1,434
16.668312,4.874559,2,511
17.588232,3.4930067,2,512
14.888473,2.806216,2,513
18.491316,-2.0734437,4,522
12.623155,4.2292666,2,523
12.981445,4.566317,2,524
8.002358,0.79546005,2,531
8.759661,-2.9739075,2,532
5.984778,-2.0080771,2,533
14.340596,3.563966,2,611
16.995478,3.8608432,2,612
10.976978,2.5522542,2,613
6.0306945,1.4662839,2,614
17.877808,3.0488489,2,621
-10.033436,2.4020636,3,622
10.54281,4.3388286,2,623
19.2137,-2.1434724,4,624
15.673856,3.9236763,2,631
-0.86888105,9.901709,2,632
0.006328118,-5.3715153,3,633
5.787352,-7.741433,2,634
14.36829,3.0259264,2,711
14.337087,2.4466891,2,712
15.983785,3.1030376,2,713
7.2447443,-1.1596562,2,714
6.451698,-1.2189654,3,715
5.1287584,-1.5792129,3,722
11.106057,0.55517167,2,723
8.655079,-0.54860824,2,724
13.393175,2.8069065,2,725
11.418887,-1.1296078,2,726
7.16386,-2.5266185,2,731
6.97057,-2.1592429,2,732
11.941847,0.3895263,2,733
5.8089385,-1.6440305,3,734
10.929274,1.5549272,2,735
-3.346064,2.9147863,3,811
-2.8202703,1.075127,3,812
2.367558,8.157993,2,813
9.789386,-7.542236,3,814
1.962252,7.5743265,2,815
-6.678046,5.943655,3,821
3.2958655,2.466147,2,822
17.173058,4.6924043,2,823
10.992988,3.2739952,2,824
16.292194,3.528401,2,825
14.777461,5.1785636,2,831
13.400886,3.876674,2,832
-5.9328203,12.20994,0,833
3.3430965,7.2709794,2,834
