TSNE Component 1,TSNE Component 2,cluster,Beat
3.9338365,17.193548,2,111
4.330496,16.178083,3,112
5.959093,4.8835235,4,113
3.752651,16.556465,3,114
9.908439,4.12319,4,121
2.0743692,14.484151,3,122
2.6418064,17.59554,2,123
5.0648484,13.056222,3,124
-4.623542,10.238878,0,131
0.59347993,5.9505687,0,132
-5.344872,6.3860497,0,133
0.944699,6.524302,0,211
-11.175891,-0.34917435,1,212
-0.4439632,-5.6338587,1,213
-0.8920012,-4.356797,1,214
2.0862525,-6.5714297,4,215
3.3382895,-9.529498,4,221
-5.1450934,10.0671835,0,222
-2.166332,-3.6265876,1,223
2.361794,-9.897819,4,224
8.77484,-9.584918,4,225
2.856997,-10.20972,4,231
1.9933782,-9.046401,4,232
9.526133,-1.7480668,4,233
3.6690032,11.269234,3,234
11.1618,-1.3050283,4,235
1.8586673,-9.9316845,4,311
-10.476502,-3.2397914,1,312
-2.4703894,-6.3029823,1,313
0.24293245,-6.2330513,4,314
-10.737618,2.172316,0,321
-8.501438,1.0271403,1,322
-10.792547,3.1410954,1,323
-11.712092,0.92477924,1,324
-14.061699,4.2275267,0,331
-10.680178,1.347526,1,332
-1.534465,-4.8115926,1,333
-5.7024727,-4.9550233,1,334
-2.703864,-5.259322,1,411
-7.7419567,3.6404996,0,412
-7.8949447,2.6629846,1,413
-14.21085,4.890172,0,414
-16.537918,3.8155694,0,421
-10.06096,-1.5679895,1,422
-15.30116,4.0818872,0,423
-12.519004,0.31581143,1,424
-9.663536,1.4787458,0,431
-7.8672295,-1.7291026,1,432
-1.7049681,-1.3420744,1,433
4.8888774,-9.622618,4,434
-14.967391,4.988796,0,511
-11.0239525,0.35995552,1,512
-10.1759,0.38410747,1,513
-5.775047,-7.22969,1,522
-10.00636,2.7376597,1,523
-9.012598,2.9589522,0,524
-0.40658292,-8.428699,1,531
0.39934066,-11.360628,1,532
-13.461482,0.6011511,1,533
-9.379663,-1.0664171,1,611
-14.285133,1.8546247,0,612
-8.222654,0.16490802,1,613
-1.1406531,-1.6077192,1,614
-13.796998,1.008328,1,621
-0.05304983,6.8734884,0,622
-13.689236,3.7111003,0,623
-15.3916855,3.2229214,0,624
-15.631571,4.482867,0,631
-13.967821,5.193666,0,632
-4.817503,-5.945112,1,633
-9.051901,-0.36962897,1,634
1.6042567,-11.722725,1,711
-4.362511,-7.926034,1,712
-7.2516036,-5.9954123,1,713
7.9994707,-10.774833,4,714
6.4758987,-11.903437,4,715
-5.857879,-8.905166,1,722
-4.5619755,-9.190863,1,723
1.0346823,-11.47245,1,724
-6.7533774,-6.3923974,1,725
6.766253,-11.301257,4,726
-6.2005973,-8.248941,1,731
-0.3937188,-11.543665,1,732
-5.2110925,-8.569846,1,733
3.6753798,-11.53962,4,734
-2.103665,-8.597174,1,735
4.718467,0.94213194,4,811
5.66832,-2.5213614,4,812
-2.9677057,8.338841,0,813
5.3089347,-1.7879928,4,814
-3.0956666,7.7445273,0,815
5.8544483,3.304917,4,821
-6.2614436,-3.2050085,1,822
-13.378323,2.4845731,0,823
-3.1352549,-6.1659484,1,824
-8.307296,-3.562898,1,825
-6.270752,1.4106505,0,831
-6.765652,-0.5211466,1,832
1.7677914,8.626219,0,833
-4.291101,3.414826,1,834
-3.2707136,6.4746895,0,835
8.258868,-9.081274,4,911
-0.057377197,1.7998757,1,912
0.58659804,1.6613015,4,913
2.7622795,7.1281424,0,914
0.28063494,-0.7614418,4,915
1.7402486,-13.124989,4,921
-4.0468597,-2.568888,1,922
5.6868916,-6.2541213,4,923
-4.797388,-0.53958243,1,924
5.806844,-6.9107537,4,925
-1.9679345,-10.914025,1,931
4.6718373,-11.173325,4,932
3.5667076,-13.50127,4,933
4.555803,-12.9378605,4,934
8.121386,-11.418677,4,935
-14.857817,-1.5384613,1,1011
2.421962,-11.915198,4,1012
-3.4150302,-8.88441,1,1013
-6.9114356,-7.5884857,1,1014
-9.92104,-3.8334835,1,1021
-4.824364,-1.8313649,1,1022
7.3631716,-6.5384073,4,1023
-7.5419617,-6.586745,1,1024
-6.983119,-3.946966,1,1031
4.8201404,-12.329049,4,1032
0.45161065,-13.049731,1,1033
-6.2020464,-2.4343703,1,1034
-3.450954,-7.7361765,1,1111
-13.81507,-7.0120187,1,1112
-5.6838007,-11.801939,1,1113
8.705626,-11.490139,4,1114
3.0269766,-12.403713,1,1115
-12.68306,-6.9714212,1,1121
-13.414402,-6.8901424,1,1122
-10.7211895,-7.057985,1,1123
0.49548316,-11.991133,1,1124
9.034132,-10.97511,4,1125
-5.5398293,-12.091562,1,1131
-13.113595,-6.8915954,1,1132
-14.099626,-0.6684114,1,1133
-13.212066,-7.5334716,1,1134
-7.7855015,-0.82399535,1,1135
3.415938,-2.2050385,4,1211
8.844467,3.3340335,4,1212
7.8906813,2.0036848,4,1213
3.8639064,18.033554,2,1214
4.7880616,11.866101,3,1215
2.3056998,6.337509,0,1221
3.3886092,-5.2675395,4,1222
0.16912194,7.7809944,0,1223
3.0428183,14.191824,3,1224
-0.82384944,-3.6506777,1,1225
0.8403685,7.67432,0,1231
2.8108976,15.084729,3,1232
-5.1197987,-0.0297481,1,1233
-0.7815872,1.6724359,1,1234
1.33063,7.5437813,0,1235
10.046655,-2.8135257,4,1411
10.528927,-3.3467474,4,1412
11.861842,-3.4343412,4,1413
10.95945,0.727955,4,1414
11.342128,-3.5538394,4,1421
1.3033816,-3.8493743,1,1422
3.307902,-7.9391117,4,1423
4.385642,15.466785,3,1424
11.522089,-0.43457028,4,1431
7.9674087,7.8354554,4,1432
5.4834228,11.376498,3,1433
7.441137,7.9802637,4,1434
1.3903463,-9.085652,1,1511
-0.847243,-6.738452,1,1512
-8.261844,-8.09532,1,1513
-12.637833,1.605381,0,1522
-6.497751,-8.927104,1,1523
3.3954496,-6.1011395,4,1524
-4.925068,-7.4091682,1,1531
-11.153666,-7.1197605,1,1532
-15.189015,-0.8755745,0,1533
12.822785,-6.552033,4,1611
12.629157,-6.8869367,4,1612
13.21839,-5.917771,4,1613
8.348195,-2.0294194,4,1614
13.884106,-6.402721,4,1621
3.09842,3.048522,0,1622
4.379378,3.357722,4,1623
4.8744674,1.9723966,4,1624
12.01042,-7.106799,4,1631
4.5353694,0.3649516,4,1632
3.8421688,3.0213618,4,1633
1.729879,-4.3123555,1,1634
11.729054,2.8787642,4,1651
12.05156,-10.693882,4,1652
11.960574,-10.4048195,4,1653
9.96569,-12.221234,4,1654
11.943893,-10.653424,4,1655
3.747163,1.9182404,4,1711
-0.5277175,8.727337,0,1712
8.336041,-6.4608016,4,1713
7.1450872,2.7531374,4,1722
-5.3043566,1.6213008,0,1723
9.348887,1.2700226,4,1724
5.703077,-3.8210847,4,1731
6.5644417,5.2677703,4,1732
7.801002,3.356945,4,1733
12.815158,-0.54539526,4,1811
11.8553095,0.18997343,4,1812
13.670595,-2.5579307,4,1813
10.656739,3.0339522,4,1814
1.699792,11.306046,0,1821
5.6159487,12.217944,3,1822
9.050049,-3.7092404,4,1823
3.633737,13.475679,3,1824
2.8157728,17.36489,2,1831
3.2286408,12.39859,3,1832
4.1590405,14.554866,3,1833
3.1719995,18.749588,2,1834
8.094378,5.2107296,4,1911
9.288155,4.620905,4,1912
5.4702735,6.317312,4,1913
1.0041423,9.461172,0,1914
6.525551,6.6434307,4,1915
12.48439,-1.5013038,4,1921
8.562403,7.234861,4,1922
5.601102,5.4941583,4,1923
2.9747748,13.459614,3,1924
3.4775999,14.834617,3,1925
8.118269,6.7353086,4,1931
13.077953,-1.4379108,4,1932
7.224231,6.198069,4,1933
4.296782,12.327855,3,1934
4.887708,15.097301,3,1935
2.8522537,8.7315645,0,2011
11.706075,-2.3395963,4,2012
10.191357,-1.9677948,4,2013
8.446683,-7.989185,4,2022
6.759081,3.7971673,4,2023
9.450519,-2.7948182,4,2024
10.08637,-4.7254224,4,2031
12.900848,-2.5161602,4,2032
10.176256,-6.8398595,4,2033
6.31994,-1.7607061,4,2211
-2.749375,3.9916015,0,2212
3.6777885,-3.6343496,4,2213
4.45966,-4.5842724,4,2221
-7.4704638,1.044911,1,2222
-8.366633,3.5097625,0,2223
-1.3572375,-5.7556396,1,2232
1.1367916,-6.8395495,4,2233
-0.60971546,2.8173068,1,2234
3.3870163,8.633433,0,2411
-3.1927502,5.3694496,0,2412
-3.1864307,9.538708,0,2413
2.125703,13.367467,3,2422
7.603969,-2.4883928,4,2423
6.3147225,-3.3942158,4,2424
8.57723,-4.2874913,4,2431
1.919982,10.632872,0,2432
2.5146282,9.534204,0,2433
6.2855034,-5.0559344,4,2511
-1.9948472,7.5595746,0,2512
11.834534,-5.2955585,4,2513
0.6415818,-2.7597828,1,2514
-7.7077293,-2.6108797,1,2515
-0.92500114,7.5406327,0,2521
2.656669,-8.171762,4,2522
7.5367613,-3.7545805,4,2523
9.993673,-3.7864304,4,2524
8.032878,-9.901347,4,2525
5.3834147,-5.68212,4,2531
-4.302066,-4.7700963,1,2532
-1.2177551,6.803055,0,2533
-8.55641,-2.6156182,1,2534
3.7744539,-7.310456,4,2535
