year,district,crime_category,primary_type,neighborhood,count
2009,14,Property Crimes,THEFT,Avondale / Bucktown,4318
2009,15,Drug Offenses,NARCOTICS,Austin,4803
2009,16,Property Crimes,THEFT,Dunning / Edison Park,3201
2009,17,Property Crimes,THEFT,Albany Park / Avondale,2851
2009,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6962
2009,19,Property Crimes,THEFT,Lake View / Lincoln Park,3846
2009,20,Property Crimes,THEFT,Andersonville / Edgewater,1674
2009,21,Property Crimes,THEFT,Chinatown / Douglas,2116
2009,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2429
2009,23,Property Crimes,THEFT,Boystown / Lake View,2418
2009,24,Property Crimes,THEFT,Edgewater / Rogers Park,2547
2009,25,Property Crimes,THEFT,Austin / Avondale,4724
2010,1,Property Crimes,THEFT,Douglas / Loop,5757
2010,2,Violent Crimes,BATTERY,Douglas / Englewood,2093
2010,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,4157
2010,4,Violent Crimes,BATTERY,Avalon Park / Burnside,4227
2010,5,Violent Crimes,BATTERY,Burnside / Pullman,3640
2010,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,4216
2010,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,5097
2010,8,Property Crimes,THEFT,Archer Heights / Ashburn,4584
