year,district,crime_category,primary_type,neighborhood,count
2019,19,Property Crimes,THEFT,Lake View / Lincoln Park,4555
2019,20,Property Crimes,THEFT,Andersonville / Edgewater,1285
2019,22,Property Crimes,THEFT,Auburn Gresham / Beverly,1669
2019,24,Property Crimes,THEFT,Edgewater / Rogers Park,2329
2019,25,Violent Crimes,BATTERY,Austin / Avondale,2600
2020,1,Property Crimes,THEFT,Douglas / Loop,2754
2020,2,Violent Crimes,BATTERY,Douglas / Englewood,1883
2020,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,2648
2020,4,Violent Crimes,BATTERY,Avalon Park / Burnside,2722
2020,5,Violent Crimes,BATTERY,Burnside / Pullman,2241
2020,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3132
2020,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,2899
2020,8,Violent Crimes,BATTERY,Archer Heights / Ashburn,2476
2020,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,1940
2020,10,Violent Crimes,BATTERY,Little Village / Lower West Side,2467
2020,11,Violent Crimes,BATTERY,Austin / Garfield Park,3231
2020,12,Property Crimes,THEFT,East Village / Garfield Park,2870
2020,14,Property Crimes,THEFT,Avondale / Bucktown,2161
2020,15,Violent Crimes,BATTERY,Austin,2357
2020,16,Property Crimes,THEFT,Dunning / Edison Park,1610
2020,17,Property Crimes,THEFT,Albany Park / Avondale,1485
2020,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,3163
2020,19,Property Crimes,THEFT,Lake View / Lincoln Park,3343
2020,20,Property Crimes,THEFT,Andersonville / Edgewater,1181
2020,22,Violent Crimes,BATTERY,Auburn Gresham / Beverly,1238
2020,24,Property Crimes,THEFT,Edgewater / Rogers Park,1779
2020,25,Violent Crimes,BATTERY,Austin / Avondale,2304
2021,1,Property Crimes,THEFT,Douglas / Loop,3058
2021,2,Property Crimes,THEFT,Douglas / Englewood,1916
2021,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,2385
2021,4,Violent Crimes,BATTERY,Avalon Park / Burnside,2787
2021,5,Violent Crimes,BATTERY,Burnside / Pullman,1912
2021,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,2977
2021,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,2591
2021,8,Violent Crimes,BATTERY,Archer Heights / Ashburn,2464
2021,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,1925
2021,10,Violent Crimes,BATTERY,Little Village / Lower West Side,2116
2021,11,Violent Crimes,BATTERY,Austin / Garfield Park,2888
2021,12,Property Crimes,THEFT,East Village / Garfield Park,3228
2021,14,Property Crimes,THEFT,Avondale / Bucktown,2002
2021,15,Violent Crimes,BATTERY,Austin,1964
2021,16,Property Crimes,THEFT,Dunning / Edison Park,1740
2021,17,Property Crimes,THEFT,Albany Park / Avondale,1410
2021,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,3485
2021,19,Property Crimes,THEFT,Lake View / Lincoln Park,3204
2021,20,Property Crimes,THEFT,Andersonville / Edgewater,1190
2021,22,Violent Crimes,BATTERY,Auburn Gresham / Beverly,1230
2021,24,Property Crimes,THEFT,Edgewater / Rogers Park,1810
2021,25,Violent Crimes,BATTERY,Austin / Avondale,2050
2022,1,Property Crimes,THEFT,Douglas / Loop,5010
2022,2,Property Crimes,THEFT,Douglas / Englewood,2555
2022,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,2349
2022,4,Violent Crimes,BATTERY,Avalon Park / Burnside,2662
2022,5,Violent Crimes,BATTERY,Burnside / Pullman,1824
2022,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,2886
2022,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,2290
2022,8,Property Crimes,THEFT,Archer Heights / Ashburn,2984
2022,9,Property Crimes,THEFT,Armour Square / Bridgeport,2020
2022,10,Violent Crimes,BATTERY,Little Village / Lower West Side,2247
2022,11,Violent Crimes,BATTERY,Austin / Garfield Park,2682
2022,12,Property Crimes,THEFT,East Village / Garfield Park,4682
2022,14,Property Crimes,THEFT,Avondale / Bucktown,2752
2022,15,Violent Crimes,BATTERY,Austin,1752
2022,16,Property Crimes,THEFT,Dunning / Edison Park,2188
2022,17,Property Crimes,THEFT,Albany Park / Avondale,1864
2022,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,4994
2022,19,Property Crimes,THEFT,Lake View / Lincoln Park,4645
2022,20,Property Crimes,THEFT,Andersonville / Edgewater,1491
2022,22,Property Crimes,THEFT,Auburn Gresham / Beverly,1441
2022,24,Property Crimes,THEFT,Edgewater / Rogers Park,2431
2022,25,Property Crimes,THEFT,Austin / Avondale,2316
2023,1,Property Crimes,THEFT,Douglas / Loop,5018
2023,2,Property Crimes,THEFT,Douglas / Englewood,2747
2023,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,2621
2023,4,Violent Crimes,BATTERY,Avalon Park / Burnside,2719
2023,5,Violent Crimes,BATTERY,Burnside / Pullman,2054
2023,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3014
2023,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,2356
2023,8,Property Crimes,THEFT,Archer Heights / Ashburn,3140
2023,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,2173
2023,10,Violent Crimes,BATTERY,Little Village / Lower West Side,2406
2023,11,Violent Crimes,BATTERY,Austin / Garfield Park,2815
2023,12,Property Crimes,THEFT,East Village / Garfield Park,4397
2023,14,Property Crimes,THEFT,Avondale / Bucktown,3058
2023,15,Violent Crimes,BATTERY,Austin,1876
2023,16,Property Crimes,THEFT,Dunning / Edison Park,2442
2023,17,Property Crimes,THEFT,Albany Park / Avondale,2150
2023,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,5171
2023,19,Property Crimes,THEFT,Lake View / Lincoln Park,5054
2023,20,Property Crimes,THEFT,Andersonville / Edgewater,1583
2023,22,Property Crimes,THEFT,Auburn Gresham / Beverly,1441
2023,24,Property Crimes,THEFT,Edgewater / Rogers Park,2444
2023,25,Property Crimes,THEFT,Austin / Avondale,2529
2024,1,Property Crimes,THEFT,Douglas / Loop,1984
2024,2,Property Crimes,THEFT,Douglas / Englewood,1024
2024,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,1230
2024,4,Violent Crimes,BATTERY,Avalon Park / Burnside,1066
2024,5,Violent Crimes,BATTERY,Burnside / Pullman,841
2024,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,1274
2024,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,978
2024,8,Violent Crimes,BATTERY,Archer Heights / Ashburn,1170
2024,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,923
2024,10,Violent Crimes,BATTERY,Little Village / Lower West Side,1015
2024,11,Violent Crimes,BATTERY,Austin / Garfield Park,1166
2024,12,Property Crimes,THEFT,East Village / Garfield Park,1729
2024,14,Property Crimes,THEFT,Avondale / Bucktown,1344
2024,15,Violent Crimes,BATTERY,Austin,892
2024,16,Property Crimes,THEFT,Dunning / Edison Park,911
2024,17,Property Crimes,THEFT,Albany Park / Avondale,963
2024,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,2029
2024,19,Property Crimes,THEFT,Lake View / Lincoln Park,1956
2024,20,Property Crimes,THEFT,Andersonville / Edgewater,619
2024,22,Property Crimes,THEFT,Auburn Gresham / Beverly,612
2024,24,Property Crimes,THEFT,Edgewater / Rogers Park,1030
2024,25,Property Crimes,THEFT,Austin / Avondale,1033
