day_of_week,district,neighborhood,specific_count,crime_category,total_count,crime_rate
Wednesday,25,Austin / Avondale,3136,Public Order Crimes,41396,0.07575611170161368
Friday,1,Douglas / Loop,5324,White Collar Crimes,59717,0.08915384228946531
Friday,2,Douglas / Englewood,2020,White Collar Crimes,59717,0.03382621364100675
Friday,3,Grand Crossing / Jackson Park,2175,White Collar Crimes,59717,0.03642178944019291
Friday,4,Avalon Park / Burnside,2611,White Collar Crimes,59717,0.043722892978548825
Friday,5,Burnside / Pullman,1776,White Collar Crimes,59717,0.02974027496357821
Friday,6,Auburn Gresham / Chatham,3107,White Collar Crimes,59717,0.05202873553594454
Friday,7,Englewood / Grand Crossing,1888,White Collar Crimes,59717,0.03161578779911918
Friday,8,Archer Heights / Ashburn,3951,White Collar Crimes,59717,0.06616206440377112
Friday,9,Armour Square / Bridgeport,2246,White Collar Crimes,59717,0.037610730612723346
Friday,10,Little Village / Lower West Side,1445,White Collar Crimes,59717,0.024197464708541956
Friday,11,Austin / Garfield Park,2107,White Collar Crimes,59717,0.035283085218614466
Friday,12,East Village / Garfield Park,2490,White Collar Crimes,59717,0.04169666929015188
Friday,13,East Village / Garfield Park,540,White Collar Crimes,59717,0.009042651171358239
Friday,14,Avondale / Bucktown,2113,White Collar Crimes,59717,0.035383559120518444
Friday,15,Austin,1451,White Collar Crimes,59717,0.024297938610445935
Friday,16,Dunning / Edison Park,3114,White Collar Crimes,59717,0.05214595508816585
Friday,17,Albany Park / Avondale,1799,White Collar Crimes,59717,0.030125424920876803
Friday,18,Lincoln Park / Magnificent Mile,5524,White Collar Crimes,59717,0.09250297235293133
Friday,19,Lake View / Lincoln Park,3461,White Collar Crimes,59717,0.057956695748279385
Friday,20,Andersonville / Edgewater,1522,White Collar Crimes,59717,0.02548687978297637
Friday,21,Chinatown / Douglas,690,White Collar Crimes,59717,0.01155449871895775
Friday,22,Auburn Gresham / Beverly,2257,White Collar Crimes,59717,0.03779493276621398
Friday,23,Boystown / Lake View,987,White Collar Crimes,59717,0.016527956863204782
Friday,24,Edgewater / Rogers Park,2092,White Collar Crimes,59717,0.035031900463854515
Friday,25,Austin / Avondale,3027,White Collar Crimes,59717,0.05068908351055813
Monday,1,Douglas / Loop,4803,White Collar Crimes,57169,0.08401406356591859
Monday,2,Douglas / Englewood,1986,White Collar Crimes,57169,0.03473910685861219
Monday,3,Grand Crossing / Jackson Park,2119,White Collar Crimes,57169,0.03706554251429971
Monday,4,Avalon Park / Burnside,2691,White Collar Crimes,57169,0.04707096503349718
Monday,5,Burnside / Pullman,1702,White Collar Crimes,57169,0.02977137959383582
Monday,6,Auburn Gresham / Chatham,2963,White Collar Crimes,57169,0.05182878832933933
Monday,7,Englewood / Grand Crossing,1706,White Collar Crimes,57169,0.029841347583480556
Monday,8,Archer Heights / Ashburn,4156,White Collar Crimes,57169,0.0726967412408823
