TSNE Component 1,TSNE Component 2,cluster,Beat
-6.090545,13.017434,4,111
-6.999985,8.648792,3,112
-6.1439195,11.875744,4,113
-19.345541,-6.4505157,1,114
-19.85182,-7.0168324,1,121
-4.1185417,18.496092,4,122
-5.019311,14.59083,4,123
-6.381466,9.345811,3,124
-4.1238976,16.183472,4,131
-3.6438818,17.010872,4,132
-9.298982,4.078938,1,133
-3.6530788,-7.8679705,1,134
0.337441,-8.027514,0,211
-10.884662,-3.4144375,1,212
-3.8041158,-2.2325125,3,213
-6.311258,-4.715556,1,214
-18.738098,-5.095701,1,215
-9.786006,-3.4812853,1,221
-3.2768805,-2.994553,3,222
-2.8684094,-2.0422013,3,223
-9.133833,-5.153888,1,224
-17.368845,-5.340588,1,225
-12.55481,-3.7214794,1,231
-1.0072752,-1.171144,3,232
8.593515,-8.593157,0,233
0.15092689,-4.953927,3,234
-18.799662,-6.7701287,1,235
-5.6992745,-4.54954,1,311
15.999223,-5.6360016,0,312
12.44581,-4.6742826,0,313
1.8064708,0.29520017,3,314
17.908361,-3.9266882,2,321
10.390337,-4.7108483,0,322
14.214455,-1.9393175,0,323
14.566065,-2.0137343,0,324
12.858514,-1.0736941,0,331
12.062527,-0.81731445,0,332
1.3718985,6.680715,3,333
6.2959,-3.6239462,0,334
6.275846,2.8303187,3,411
7.0047913,8.365153,3,412
9.755397,2.2053504,0,413
17.424023,-3.9734228,2,414
19.246925,-6.948204,2,421
10.219847,-6.836424,0,422
19.471869,-6.402586,2,423
14.753436,-3.4916892,0,424
-18.705374,-4.3790445,1,430
8.834485,5.0440497,3,431
10.985843,4.5218434,0,432
4.0388694,1.7317224,3,433
-4.809297,-1.4534154,3,434
19.526497,-3.766615,2,511
18.298857,-4.5365396,2,512
14.806618,-2.673878,0,513
17.639267,-5.1210427,2,522
15.3076515,-0.44350496,0,523
14.395,-0.52163595,0,524
7.2610397,1.5660279,0,531
6.5317698,-5.696683,0,532
8.172931,-4.51404,0,533
15.336245,-4.00516,0,611
18.909306,-5.093747,2,612
11.732731,-1.5684924,0,613
6.272934,-1.7477275,0,614
17.21626,-4.5285244,2,621
-5.513871,5.0603805,3,622
12.451971,-1.8683214,0,623
19.200281,-5.8030505,2,624
16.45554,-2.206332,0,631
6.913295,8.533876,3,632
1.8819734,-4.0605674,3,633
4.567537,7.1138706,3,634
14.11899,-4.8840938,0,711
14.000962,-6.1432953,0,712
14.84999,-6.616635,2,713
3.3286257,-3.9487126,0,714
3.6857522,-4.9232216,0,715
5.073724,-3.1252522,0,722
10.093986,-1.9644295,0,723
6.817509,-4.686267,0,724
14.946531,-5.3761897,0,725
9.604668,-3.3697655,0,726
3.1421366,-5.1328797,0,731
5.0103116,-3.9763792,0,732
11.120088,-3.1113458,0,733
4.5955276,-5.0967355,0,734
10.708853,-1.1217086,0,735
3.8423197,4.7693896,3,811
2.1370108,4.1751013,3,812
9.845113,7.6749983,3,813
2.051338,-2.2875345,3,814
9.649236,8.128044,3,815
-2.2825122,9.552595,3,821
10.146564,4.209112,0,822
19.224648,-3.3813138,2,823
13.888025,1.4469479,0,824
19.529203,-2.9656458,2,825
17.494534,-2.593226,0,831
15.530691,-4.4849005,0,832
-1.4513075,16.228352,4,833
10.234793,5.7638264,0,834
10.878237,5.8799396,0,835
4.998478,0.029800039,0,911
12.32257,0.9637867,0,912
4.971404,0.44451046,3,913
5.7803807,6.71201,3,914
4.251816,-5.3642673,0,915
-8.221375,2.7506185,3,921
-2.0608337,8.521634,3,922
-1.5617023,5.851833,3,923
4.0344267,1.79428,3,924
-8.318382,-3.7505202,1,925
0.8717944,-5.183401,3,931
4.6073155,-8.338786,0,932
0.98323256,-7.1213455,1,933
9.991933,-7.9889445,0,934
4.2936325,-6.540009,0,935
16.64464,-10.219713,2,1011
3.0707653,-7.1217003,0,1012
5.800295,-5.477717,0,1013
7.6630726,-6.2559075,0,1014
11.095404,-6.004153,0,1021
6.6039457,-6.306997,0,1022
-4.5623717,-0.55466217,3,1023
5.836304,-6.326989,0,1024
8.438326,1.6883982,0,1031
-5.4236,-4.428711,1,1032
-3.306504,-4.6020203,3,1033
-0.45464098,3.893165,3,1034
13.944881,-7.4844646,0,1111
17.5994,-11.145283,2,1112
10.736219,-10.380852,0,1113
-6.1309404,-6.9140224,1,1114
12.559971,-10.044365,0,1115
15.909196,-10.490297,2,1121
13.855599,-9.404584,2,1122
10.869397,-8.033418,0,1123
13.541546,-10.408868,2,1124
-10.078322,-4.1141353,1,1125
1.9427392,-7.208881,0,1131
13.045177,-7.8134923,0,1132
12.160043,-7.2840796,0,1133
13.06085,-10.239767,0,1134
11.657284,-7.778779,0,1135
3.8326893,8.680756,3,1211
-3.5304563,14.949623,4,1212
-4.8516545,7.65378,3,1213
-19.574026,-5.920417,1,1214
-20.299065,-5.6720862,1,1215
-19.365183,-5.3160095,1,1221
-5.6303363,-2.177421,1,1222
0.8083584,-3.6350775,3,1223
-4.623083,9.623412,3,1224
-20.247522,-6.3999586,1,1225
-4.5980105,-5.727435,1,1231
-11.339988,-1.8207755,1,1232
-5.654479,-0.09170423,3,1233
-19.437984,-4.518527,1,1234
-20.031404,-4.9911227,1,1235
-1.136814,-3.3495712,3,1311
-3.6402185,5.653227,3,1312
-2.74444,8.702847,3,1313
-7.7697067,1.6284363,1,1322
-2.2688136,15.233576,4,1323
-2.0114777,6.4177103,3,1324
2.2412887,-8.513565,0,1331
-4.435168,-2.7298968,3,1332
-9.69759,-1.548439,1,1333
-1.6282687,4.4994483,3,1411
0.8647549,1.5556623,3,1412
-2.8310888,-0.31621948,3,1413
-5.22639,2.4688601,3,1414
3.1509776,1.1577408,3,1421
10.199861,-3.3548532,0,1422
