year,district,primary_type,count
2006,19,DECEPTIVE PRACTICE,601
2006,19,GAMBLING,7
2006,19,HOMICIDE,3
2006,19,INTERFERENCE WITH PUBLIC OFFICER,13
2006,19,INTIMIDATION,4
2006,19,KIDNAPPING,8
2006,19,LIQUOR LAW VIOLATION,55
2006,19,MOTOR VEHICLE THEFT,406
2006,19,NARCOTICS,365
2006,19,OFFENSE INVOLVING CHILDREN,30
2006,19,OTHER OFFENSE,640
2006,19,PROSTITUTION,51
2006,19,PUBLIC PEACE VIOLATION,45
2006,19,ROBBERY,283
2006,19,SEX OFFENSE,40
2006,19,STALKING,6
2006,19,THEFT,3255
2006,19,WEAPONS VIOLATION,27
2006,20,ARSON,9
2006,20,ASSAULT,410
2006,20,BATTERY,1241
2006,20,BURGLARY,412
2006,20,CRIM SEXUAL ASSAULT,20
2006,20,CRIMINAL DAMAGE,1176
2006,20,CRIMINAL SEXUAL ASSAULT,2
2006,20,CRIMINAL TRESPASS,330
2006,20,DECEPTIVE PRACTICE,339
2006,20,GAMBLING,16
2006,20,HOMICIDE,1
2006,20,INTERFERENCE WITH PUBLIC OFFICER,5
2006,20,INTIMIDATION,10
2006,20,KIDNAPPING,10
2006,20,LIQUOR LAW VIOLATION,36
2006,20,MOTOR VEHICLE THEFT,279
2006,20,NARCOTICS,697
2006,20,OFFENSE INVOLVING CHILDREN,32
2006,20,OTHER OFFENSE,630
2006,20,PROSTITUTION,46
2006,20,PUBLIC PEACE VIOLATION,97
2006,20,ROBBERY,249
2006,20,SEX OFFENSE,35
2006,20,STALKING,1
2006,20,THEFT,2059
2006,20,WEAPONS VIOLATION,29
2006,22,ARSON,17
2006,22,ASSAULT,945
2006,22,BATTERY,2738
2006,22,BURGLARY,884
2006,22,CRIM SEXUAL ASSAULT,48
2006,22,CRIMINAL DAMAGE,2177
2006,22,CRIMINAL SEXUAL ASSAULT,2
2006,22,CRIMINAL TRESPASS,335
2006,22,DECEPTIVE PRACTICE,482
2006,22,GAMBLING,31
2006,22,HOMICIDE,18
2006,22,INTERFERENCE WITH PUBLIC OFFICER,17
2006,22,INTIMIDATION,10
2006,22,KIDNAPPING,15
2006,22,LIQUOR LAW VIOLATION,20
2006,22,MOTOR VEHICLE THEFT,719
2006,22,NARCOTICS,1547
2006,22,OBSCENITY,3
2006,22,OFFENSE INVOLVING CHILDREN,143
2006,22,OTHER OFFENSE,1199
2006,22,PROSTITUTION,20
2006,22,PUBLIC INDECENCY,1
2006,22,PUBLIC PEACE VIOLATION,95
2006,22,ROBBERY,594
2006,22,SEX OFFENSE,50
2006,22,STALKING,6
2006,22,THEFT,2628
2006,22,WEAPONS VIOLATION,120
2006,24,ARSON,19
2006,24,ASSAULT,741
2006,24,BATTERY,2182
2006,24,BURGLARY,851
2006,24,CRIM SEXUAL ASSAULT,34
2006,24,CRIMINAL DAMAGE,2003
2006,24,CRIMINAL SEXUAL ASSAULT,2
2006,24,CRIMINAL TRESPASS,506
2006,24,DECEPTIVE PRACTICE,497
2006,24,GAMBLING,23
2006,24,HOMICIDE,6
2006,24,INTERFERENCE WITH PUBLIC OFFICER,23
2006,24,INTIMIDATION,8
2006,24,KIDNAPPING,11
2006,24,LIQUOR LAW VIOLATION,69
2006,24,MOTOR VEHICLE THEFT,490
2006,24,NARCOTICS,1414
2006,24,OFFENSE INVOLVING CHILDREN,75
2006,24,OTHER OFFENSE,999
2006,24,PROSTITUTION,193
2006,24,PUBLIC PEACE VIOLATION,64
2006,24,ROBBERY,489
2006,24,SEX OFFENSE,51
2006,24,STALKING,4
2006,24,THEFT,3344
2006,24,WEAPONS VIOLATION,96
2006,25,ARSON,70
2006,25,ASSAULT,1431
2006,25,BATTERY,4359
2006,25,BURGLARY,1641
2006,25,CRIM SEXUAL ASSAULT,80
2006,25,CRIMINAL DAMAGE,3339
2006,25,CRIMINAL SEXUAL ASSAULT,1
2006,25,CRIMINAL TRESPASS,524
2006,25,DECEPTIVE PRACTICE,702
2006,25,GAMBLING,63
2006,25,HOMICIDE,27
2006,25,INTERFERENCE WITH PUBLIC OFFICER,118
2006,25,INTIMIDATION,13
2006,25,KIDNAPPING,20
2006,25,LIQUOR LAW VIOLATION,79
2006,25,MOTOR VEHICLE THEFT,1468
2006,25,NARCOTICS,2497
2006,25,OBSCENITY,1
2006,25,OFFENSE INVOLVING CHILDREN,179
2006,25,OTHER NARCOTIC VIOLATION,1
2006,25,OTHER OFFENSE,1799
2006,25,PROSTITUTION,660
2006,25,PUBLIC PEACE VIOLATION,212
2006,25,RITUALISM,1
2006,25,ROBBERY,833
2006,25,SEX OFFENSE,91
2006,25,STALKING,7
2006,25,THEFT,4391
2006,25,WEAPONS VIOLATION,245
2007,01,ARSON,3
2007,01,ASSAULT,532
2007,01,BATTERY,1007
2007,01,BURGLARY,223
2007,01,CRIM SEXUAL ASSAULT,16
2007,01,CRIMINAL DAMAGE,862
2007,01,CRIMINAL TRESPASS,768
2007,01,DECEPTIVE PRACTICE,1069
2007,01,GAMBLING,3
2007,01,INTERFERENCE WITH PUBLIC OFFICER,15
2007,01,INTIMIDATION,7
2007,01,KIDNAPPING,3
2007,01,LIQUOR LAW VIOLATION,31
2007,01,MOTOR VEHICLE THEFT,241
2007,01,NARCOTICS,338
2007,01,OFFENSE INVOLVING CHILDREN,21
2007,01,OTHER NARCOTIC VIOLATION,1
2007,01,OTHER OFFENSE,641
2007,01,PROSTITUTION,16
2007,01,PUBLIC PEACE VIOLATION,88
2007,01,ROBBERY,321
2007,01,SEX OFFENSE,46
2007,01,STALKING,6
2007,01,THEFT,5897
2007,01,WEAPONS VIOLATION,24
2007,02,ARSON,5
2007,02,ASSAULT,896
2007,02,BATTERY,2644
2007,02,BURGLARY,603
2007,02,CRIM SEXUAL ASSAULT,56
2007,02,CRIMINAL DAMAGE,1180
2007,02,CRIMINAL SEXUAL ASSAULT,4
2007,02,CRIMINAL TRESPASS,643
2007,02,DECEPTIVE PRACTICE,259
2007,02,GAMBLING,43
2007,02,HOMICIDE,17
2007,02,INTERFERENCE WITH PUBLIC OFFICER,27
2007,02,INTIMIDATION,8
2007,02,KIDNAPPING,10
2007,02,LIQUOR LAW VIOLATION,9
2007,02,MOTOR VEHICLE THEFT,464
2007,02,NARCOTICS,1821
2007,02,OFFENSE INVOLVING CHILDREN,64
2007,02,OTHER OFFENSE,662
2007,02,PROSTITUTION,335
2007,02,PUBLIC PEACE VIOLATION,54
2007,02,ROBBERY,546
2007,02,SEX OFFENSE,29
2007,02,STALKING,4
2007,02,THEFT,1830
2007,02,WEAPONS VIOLATION,102
2007,03,ARSON,39
2007,03,ASSAULT,1552
2007,03,BATTERY,4979
2007,03,BURGLARY,1593
2007,03,CRIM SEXUAL ASSAULT,112
2007,03,CRIMINAL DAMAGE,2665
2007,03,CRIMINAL SEXUAL ASSAULT,1
2007,03,CRIMINAL TRESPASS,1121
2007,03,DECEPTIVE PRACTICE,603
2007,03,GAMBLING,82
2007,03,HOMICIDE,32
2007,03,INTERFERENCE WITH PUBLIC OFFICER,72
2007,03,INTIMIDATION,11
2007,03,KIDNAPPING,23
2007,03,LIQUOR LAW VIOLATION,40
2007,03,MOTOR VEHICLE THEFT,1053
2007,03,NARCOTICS,2710
2007,03,OBSCENITY,1
2007,03,OFFENSE INVOLVING CHILDREN,190
2007,03,OTHER OFFENSE,1526
2007,03,PROSTITUTION,152
2007,03,PUBLIC PEACE VIOLATION,172
2007,03,ROBBERY,1227
2007,03,SEX OFFENSE,68
2007,03,STALKING,17
2007,03,THEFT,2928
2007,03,WEAPONS VIOLATION,219
2007,04,ARSON,53
2007,04,ASSAULT,1838
2007,04,BATTERY,5252
2007,04,BURGLARY,1706
2007,04,CRIM SEXUAL ASSAULT,119
2007,04,CRIMINAL DAMAGE,3540
2007,04,CRIMINAL SEXUAL ASSAULT,4
2007,04,CRIMINAL TRESPASS,584
2007,04,DECEPTIVE PRACTICE,742
2007,04,GAMBLING,54
2007,04,HOMICIDE,29
2007,04,INTERFERENCE WITH PUBLIC OFFICER,16
2007,04,INTIMIDATION,27
2007,04,KIDNAPPING,18
2007,04,LIQUOR LAW VIOLATION,84
2007,04,MOTOR VEHICLE THEFT,1219
2007,04,NARCOTICS,2652
2007,04,OFFENSE INVOLVING CHILDREN,257
2007,04,OTHER NARCOTIC VIOLATION,1
2007,04,OTHER OFFENSE,1648
2007,04,PROSTITUTION,100
2007,04,PUBLIC PEACE VIOLATION,188
2007,04,ROBBERY,1079
2007,04,SEX OFFENSE,75
2007,04,STALKING,20
2007,04,THEFT,3912
2007,04,WEAPONS VIOLATION,249
2007,05,ARSON,36
2007,05,ASSAULT,1604
2007,05,BATTERY,4371
2007,05,BURGLARY,1412
2007,05,CRIM SEXUAL ASSAULT,87
2007,05,CRIMINAL DAMAGE,2694
2007,05,CRIMINAL SEXUAL ASSAULT,1
2007,05,CRIMINAL TRESPASS,493
2007,05,DECEPTIVE PRACTICE,362
2007,05,GAMBLING,65
2007,05,HOMICIDE,34
2007,05,INTERFERENCE WITH PUBLIC OFFICER,31
2007,05,INTIMIDATION,13
2007,05,KIDNAPPING,25
2007,05,LIQUOR LAW VIOLATION,22
2007,05,MOTOR VEHICLE THEFT,907
2007,05,NARCOTICS,3232
2007,05,OFFENSE INVOLVING CHILDREN,181
2007,05,OTHER OFFENSE,1255
2007,05,PROSTITUTION,216
2007,05,PUBLIC PEACE VIOLATION,89
2007,05,ROBBERY,763
2007,05,SEX OFFENSE,50
2007,05,STALKING,19
2007,05,THEFT,2564
2007,05,WEAPONS VIOLATION,294
2007,06,ARSON,23
2007,06,ASSAULT,1766
2007,06,BATTERY,5388
2007,06,BURGLARY,1657
2007,06,CRIM SEXUAL ASSAULT,95
2007,06,CRIMINAL DAMAGE,2941
2007,06,CRIMINAL SEXUAL ASSAULT,5
2007,06,CRIMINAL TRESPASS,882
2007,06,DECEPTIVE PRACTICE,807
2007,06,GAMBLING,110
2007,06,HOMICIDE,38
2007,06,INTERFERENCE WITH PUBLIC OFFICER,51
2007,06,INTIMIDATION,17
2007,06,KIDNAPPING,23
2007,06,LIQUOR LAW VIOLATION,43
2007,06,MOTOR VEHICLE THEFT,1228
2007,06,NARCOTICS,4123
2007,06,OBSCENITY,1
2007,06,OFFENSE INVOLVING CHILDREN,242
2007,06,OTHER OFFENSE,1591
2007,06,PROSTITUTION,56
2007,06,PUBLIC PEACE VIOLATION,139
2007,06,ROBBERY,1312
2007,06,SEX OFFENSE,72
2007,06,STALKING,21
2007,06,THEFT,4108
2007,06,WEAPONS VIOLATION,264
2007,07,ARSON,51
2007,07,ASSAULT,2079
2007,07,BATTERY,6740
2007,07,BURGLARY,1962
2007,07,CRIM SEXUAL ASSAULT,145
2007,07,CRIMINAL DAMAGE,3237
2007,07,CRIMINAL SEXUAL ASSAULT,2
2007,07,CRIMINAL TRESPASS,561
2007,07,DECEPTIVE PRACTICE,481
2007,07,GAMBLING,142
2007,07,HOMICIDE,40
2007,07,INTERFERENCE WITH PUBLIC OFFICER,40
2007,07,INTIMIDATION,2
2007,07,KIDNAPPING,16
2007,07,LIQUOR LAW VIOLATION,29
2007,07,MOTOR VEHICLE THEFT,1001
2007,07,NARCOTICS,3720
2007,07,OFFENSE INVOLVING CHILDREN,176
2007,07,OTHER OFFENSE,1332
2007,07,PROSTITUTION,411
2007,07,PUBLIC PEACE VIOLATION,96
2007,07,ROBBERY,1170
2007,07,SEX OFFENSE,88
2007,07,STALKING,6
2007,07,THEFT,3543
2007,07,WEAPONS VIOLATION,325
2007,08,ARSON,62
2007,08,ASSAULT,1842
2007,08,BATTERY,5194
2007,08,BURGLARY,2234
2007,08,CRIM SEXUAL ASSAULT,111
2007,08,CRIMINAL DAMAGE,5113
2007,08,CRIMINAL SEXUAL ASSAULT,8
2007,08,CRIMINAL TRESPASS,611
2007,08,DECEPTIVE PRACTICE,1016
2007,08,GAMBLING,60
2007,08,HOMICIDE,29
2007,08,INTERFERENCE WITH PUBLIC OFFICER,34
2007,08,INTIMIDATION,22
2007,08,KIDNAPPING,23
2007,08,LIQUOR LAW VIOLATION,71
2007,08,MOTOR VEHICLE THEFT,1542
2007,08,NARCOTICS,2757
2007,08,OBSCENITY,1
2007,08,OFFENSE INVOLVING CHILDREN,274
2007,08,OTHER OFFENSE,1894
2007,08,PROSTITUTION,624
2007,08,PUBLIC PEACE VIOLATION,308
2007,08,ROBBERY,1147
2007,08,SEX OFFENSE,103
2007,08,STALKING,12
2007,08,THEFT,5710
2007,08,WEAPONS VIOLATION,305
2007,09,ARSON,54
2007,09,ASSAULT,1288
2007,09,BATTERY,3978
2007,09,BURGLARY,1222
2007,09,CRIM SEXUAL ASSAULT,81
2007,09,CRIMINAL DAMAGE,3060
2007,09,CRIMINAL SEXUAL ASSAULT,5
2007,09,CRIMINAL TRESPASS,529
2007,09,DECEPTIVE PRACTICE,495
2007,09,GAMBLING,63
2007,09,HOMICIDE,32
2007,09,INTERFERENCE WITH PUBLIC OFFICER,32
2007,09,INTIMIDATION,17
2007,09,KIDNAPPING,15
2007,09,LIQUOR LAW VIOLATION,106
2007,09,MOTOR VEHICLE THEFT,835
2007,09,NARCOTICS,2526
2007,09,OBSCENITY,2
2007,09,OFFENSE INVOLVING CHILDREN,165
2007,09,OTHER OFFENSE,1077
2007,09,PROSTITUTION,681
2007,09,PUBLIC PEACE VIOLATION,293
2007,09,ROBBERY,555
2007,09,SEX OFFENSE,110
2007,09,STALKING,3
2007,09,THEFT,3579
2007,09,WEAPONS VIOLATION,202
2007,10,ARSON,48
2007,10,ASSAULT,1147
2007,10,BATTERY,3785
2007,10,BURGLARY,674
2007,10,CRIM SEXUAL ASSAULT,67
2007,10,CRIMINAL DAMAGE,1989
2007,10,CRIMINAL SEXUAL ASSAULT,4
2007,10,CRIMINAL TRESPASS,332
2007,10,DECEPTIVE PRACTICE,276
2007,10,GAMBLING,107
2007,10,HOMICIDE,27
2007,10,INTERFERENCE WITH PUBLIC OFFICER,22
2007,10,INTIMIDATION,14
2007,10,KIDNAPPING,10
2007,10,LIQUOR LAW VIOLATION,108
2007,10,MOTOR VEHICLE THEFT,855
2007,10,NARCOTICS,2994
2007,10,OFFENSE INVOLVING CHILDREN,106
2007,10,OTHER OFFENSE,1498
2007,10,PROSTITUTION,331
2007,10,PUBLIC PEACE VIOLATION,341
2007,10,ROBBERY,622
2007,10,SEX OFFENSE,66
2007,10,STALKING,10
2007,10,THEFT,2764
2007,10,WEAPONS VIOLATION,142
2007,11,ARSON,46
2007,11,ASSAULT,1482
2007,11,BATTERY,5336
2007,11,BURGLARY,858
2007,11,CRIM SEXUAL ASSAULT,79
2007,11,CRIMINAL DAMAGE,2295
2007,11,CRIMINAL SEXUAL ASSAULT,2
2007,11,CRIMINAL TRESPASS,385
2007,11,DECEPTIVE PRACTICE,520
2007,11,GAMBLING,177
2007,11,HOMICIDE,42
2007,11,INTERFERENCE WITH PUBLIC OFFICER,62
2007,11,INTIMIDATION,11
2007,11,KIDNAPPING,15
2007,11,LIQUOR LAW VIOLATION,21
2007,11,MOTOR VEHICLE THEFT,1002
2007,11,NARCOTICS,7407
2007,11,OFFENSE INVOLVING CHILDREN,137
2007,11,OTHER NARCOTIC VIOLATION,1
2007,11,OTHER OFFENSE,1080
2007,11,PROSTITUTION,890
2007,11,PUBLIC PEACE VIOLATION,98
2007,11,ROBBERY,1019
2007,11,SEX OFFENSE,55
2007,11,STALKING,18
2007,11,THEFT,3271
2007,11,WEAPONS VIOLATION,252
2007,12,ARSON,6
2007,12,ASSAULT,713
2007,12,BATTERY,1763
2007,12,BURGLARY,380
2007,12,CRIM SEXUAL ASSAULT,21
2007,12,CRIMINAL DAMAGE,1358
2007,12,CRIMINAL SEXUAL ASSAULT,1
2007,12,CRIMINAL TRESPASS,356
2007,12,DECEPTIVE PRACTICE,365
2007,12,GAMBLING,20
2007,12,HOMICIDE,7
2007,12,INTERFERENCE WITH PUBLIC OFFICER,18
2007,12,INTIMIDATION,6
2007,12,KIDNAPPING,6
2007,12,LIQUOR LAW VIOLATION,40
2007,12,MOTOR VEHICLE THEFT,519
2007,12,NARCOTICS,853
2007,12,OFFENSE INVOLVING CHILDREN,56
2007,12,OTHER NARCOTIC VIOLATION,1
2007,12,OTHER OFFENSE,527
2007,12,PROSTITUTION,102
2007,12,PUBLIC PEACE VIOLATION,143
2007,12,ROBBERY,252
2007,12,SEX OFFENSE,44
2007,12,STALKING,5
2007,12,THEFT,2859
2007,12,WEAPONS VIOLATION,81
2007,14,ARSON,31
2007,14,ASSAULT,945
2007,14,BATTERY,2475
2007,14,BURGLARY,1269
2007,14,CRIM SEXUAL ASSAULT,46
2007,14,CRIMINAL DAMAGE,2203
2007,14,CRIMINAL SEXUAL ASSAULT,3
2007,14,CRIMINAL TRESPASS,339
2007,14,DECEPTIVE PRACTICE,508
2007,14,GAMBLING,5
2007,14,HOMICIDE,6
2007,14,INTERFERENCE WITH PUBLIC OFFICER,14
2007,14,INTIMIDATION,10
2007,14,KIDNAPPING,6
2007,14,LIQUOR LAW VIOLATION,77
2007,14,MOTOR VEHICLE THEFT,856
2007,14,NARCOTICS,1162
2007,14,OBSCENITY,1
2007,14,OFFENSE INVOLVING CHILDREN,83
2007,14,OTHER NARCOTIC VIOLATION,1
2007,14,OTHER OFFENSE,893
2007,14,PROSTITUTION,301
2007,14,PUBLIC INDECENCY,1
2007,14,PUBLIC PEACE VIOLATION,116
2007,14,ROBBERY,536
2007,14,SEX OFFENSE,82
2007,14,STALKING,6
2007,14,THEFT,4333
2007,14,WEAPONS VIOLATION,79
2007,15,ARSON,33
2007,15,ASSAULT,1265
2007,15,BATTERY,4083
2007,15,BURGLARY,550
2007,15,CRIM SEXUAL ASSAULT,60
2007,15,CRIMINAL DAMAGE,1677
2007,15,CRIMINAL SEXUAL ASSAULT,1
2007,15,CRIMINAL TRESPASS,386
2007,15,DECEPTIVE PRACTICE,335
2007,15,GAMBLING,271
2007,15,HOMICIDE,23
2007,15,INTERFERENCE WITH PUBLIC OFFICER,32
2007,15,INTIMIDATION,8
2007,15,KIDNAPPING,22
2007,15,LIQUOR LAW VIOLATION,53
2007,15,MOTOR VEHICLE THEFT,640
2007,15,NARCOTICS,6413
2007,15,OBSCENITY,1
2007,15,OFFENSE INVOLVING CHILDREN,126
2007,15,OTHER OFFENSE,1171
2007,15,PROSTITUTION,304
2007,15,PUBLIC PEACE VIOLATION,86
2007,15,ROBBERY,665
2007,15,SEX OFFENSE,40
2007,15,STALKING,8
2007,15,THEFT,1902
2007,15,WEAPONS VIOLATION,197
2007,16,ARSON,28
2007,16,ASSAULT,730
2007,16,BATTERY,2029
2007,16,BURGLARY,646
2007,16,CRIM SEXUAL ASSAULT,30
2007,16,CRIMINAL DAMAGE,2422
2007,16,CRIMINAL TRESPASS,405
2007,16,DECEPTIVE PRACTICE,780
2007,16,GAMBLING,9
2007,16,HOMICIDE,5
2007,16,INTERFERENCE WITH PUBLIC OFFICER,12
2007,16,INTIMIDATION,15
2007,16,KIDNAPPING,18
2007,16,LIQUOR LAW VIOLATION,41
2007,16,MOTOR VEHICLE THEFT,610
2007,16,NARCOTICS,665
2007,16,OBSCENITY,1
2007,16,OFFENSE INVOLVING CHILDREN,82
2007,16,OTHER OFFENSE,1934
2007,16,PROSTITUTION,34
2007,16,PUBLIC PEACE VIOLATION,104
2007,16,ROBBERY,244
2007,16,SEX OFFENSE,65
2007,16,STALKING,6
2007,16,THEFT,3189
2007,16,WEAPONS VIOLATION,51
2007,17,ARSON,22
2007,17,ASSAULT,604
2007,17,BATTERY,2006
2007,17,BURGLARY,970
2007,17,CRIM SEXUAL ASSAULT,38
2007,17,CRIMINAL DAMAGE,1820
2007,17,CRIMINAL SEXUAL ASSAULT,3
2007,17,CRIMINAL TRESPASS,308
2007,17,DECEPTIVE PRACTICE,408
2007,17,GAMBLING,11
2007,17,HOMICIDE,5
2007,17,INTERFERENCE WITH PUBLIC OFFICER,10
2007,17,INTIMIDATION,11
2007,17,KIDNAPPING,20
2007,17,LIQUOR LAW VIOLATION,31
2007,17,MOTOR VEHICLE THEFT,678
2007,17,NARCOTICS,740
2007,17,OFFENSE INVOLVING CHILDREN,98
2007,17,OTHER NARCOTIC VIOLATION,1
2007,17,OTHER OFFENSE,863
2007,17,PROSTITUTION,40
2007,17,PUBLIC PEACE VIOLATION,127
2007,17,ROBBERY,338
2007,17,SEX OFFENSE,71
2007,17,STALKING,5
2007,17,THEFT,2653
2007,17,WEAPONS VIOLATION,66
2007,18,ARSON,7
2007,18,ASSAULT,646
2007,18,BATTERY,2350
2007,18,BURGLARY,642
2007,18,CRIM SEXUAL ASSAULT,37
2007,18,CRIMINAL DAMAGE,1670
2007,18,CRIMINAL SEXUAL ASSAULT,1
2007,18,CRIMINAL TRESPASS,1089
2007,18,DECEPTIVE PRACTICE,1293
2007,18,GAMBLING,14
2007,18,HOMICIDE,2
2007,18,INTERFERENCE WITH PUBLIC OFFICER,37
2007,18,INTIMIDATION,6
2007,18,KIDNAPPING,5
2007,18,LIQUOR LAW VIOLATION,77
2007,18,MOTOR VEHICLE THEFT,469
2007,18,NARCOTICS,976
2007,18,OFFENSE INVOLVING CHILDREN,35
2007,18,OTHER OFFENSE,704
2007,18,PROSTITUTION,321
2007,18,PUBLIC INDECENCY,2
2007,18,PUBLIC PEACE VIOLATION,93
2007,18,ROBBERY,467
2007,18,SEX OFFENSE,54
2007,18,STALKING,7
2007,18,THEFT,7087
2007,18,WEAPONS VIOLATION,59
2007,19,ARSON,1
2007,19,ASSAULT,339
2007,19,BATTERY,1102
2007,19,BURGLARY,910
2007,19,CRIM SEXUAL ASSAULT,24
2007,19,CRIMINAL DAMAGE,1482
2007,19,CRIMINAL TRESPASS,367
2007,19,DECEPTIVE PRACTICE,598
2007,19,GAMBLING,8
2007,19,HOMICIDE,3
2007,19,INTERFERENCE WITH PUBLIC OFFICER,7
2007,19,INTIMIDATION,2
2007,19,KIDNAPPING,3
2007,19,LIQUOR LAW VIOLATION,46
2007,19,MOTOR VEHICLE THEFT,345
2007,19,NARCOTICS,332
2007,19,OFFENSE INVOLVING CHILDREN,28
2007,19,OTHER NARCOTIC VIOLATION,6
2007,19,OTHER OFFENSE,564
2007,19,PROSTITUTION,28
2007,19,PUBLIC PEACE VIOLATION,62
2007,19,ROBBERY,247
2007,19,SEX OFFENSE,27
2007,19,STALKING,4
2007,19,THEFT,3657
2007,19,WEAPONS VIOLATION,20
2007,20,ARSON,8
2007,20,ASSAULT,408
2007,20,BATTERY,1200
2007,20,BURGLARY,341
2007,20,CRIM SEXUAL ASSAULT,22
2007,20,CRIMINAL DAMAGE,1022
2007,20,CRIMINAL SEXUAL ASSAULT,1
2007,20,CRIMINAL TRESPASS,275
2007,20,DECEPTIVE PRACTICE,287
2007,20,GAMBLING,10
2007,20,HOMICIDE,1
2007,20,INTERFERENCE WITH PUBLIC OFFICER,8
2007,20,INTIMIDATION,5
2007,20,KIDNAPPING,4
2007,20,LIQUOR LAW VIOLATION,20
2007,20,MOTOR VEHICLE THEFT,261
2007,20,NARCOTICS,677
2007,20,OBSCENITY,1
2007,20,OFFENSE INVOLVING CHILDREN,32
2007,20,OTHER OFFENSE,584
2007,20,PROSTITUTION,25
2007,20,PUBLIC INDECENCY,1
2007,20,PUBLIC PEACE VIOLATION,69
2007,20,ROBBERY,188
2007,20,SEX OFFENSE,36
2007,20,STALKING,2
2007,20,THEFT,1794
2007,20,WEAPONS VIOLATION,18
2007,22,ARSON,31
2007,22,ASSAULT,1015
2007,22,BATTERY,2562
2007,22,BURGLARY,1110
2007,22,CRIM SEXUAL ASSAULT,46
2007,22,CRIMINAL DAMAGE,2145
2007,22,CRIMINAL TRESPASS,413
2007,22,DECEPTIVE PRACTICE,494
2007,22,GAMBLING,31
2007,22,HOMICIDE,17
2007,22,INTERFERENCE WITH PUBLIC OFFICER,22
2007,22,INTIMIDATION,6
2007,22,KIDNAPPING,19
2007,22,LIQUOR LAW VIOLATION,11
2007,22,MOTOR VEHICLE THEFT,741
2007,22,NARCOTICS,1391
2007,22,OFFENSE INVOLVING CHILDREN,130
2007,22,OTHER OFFENSE,1131
2007,22,PROSTITUTION,11
2007,22,PUBLIC PEACE VIOLATION,101
2007,22,ROBBERY,487
2007,22,SEX OFFENSE,41
2007,22,STALKING,11
2007,22,THEFT,2837
2007,22,WEAPONS VIOLATION,169
2007,24,ARSON,11
2007,24,ASSAULT,627
2007,24,BATTERY,2192
2007,24,BURGLARY,754
2007,24,CRIM SEXUAL ASSAULT,38
2007,24,CRIMINAL DAMAGE,1999
2007,24,CRIMINAL SEXUAL ASSAULT,1
2007,24,CRIMINAL TRESPASS,488
2007,24,DECEPTIVE PRACTICE,488
2007,24,GAMBLING,15
2007,24,HOMICIDE,11
2007,24,INTERFERENCE WITH PUBLIC OFFICER,16
2007,24,INTIMIDATION,4
2007,24,KIDNAPPING,7
2007,24,LIQUOR LAW VIOLATION,45
2007,24,MOTOR VEHICLE THEFT,375
2007,24,NARCOTICS,1294
2007,24,OBSCENITY,1
2007,24,OFFENSE INVOLVING CHILDREN,86
2007,24,OTHER OFFENSE,876
2007,24,PROSTITUTION,116
2007,24,PUBLIC PEACE VIOLATION,60
2007,24,ROBBERY,391
2007,24,SEX OFFENSE,54
2007,24,STALKING,4
2007,24,THEFT,2975
2007,24,WEAPONS VIOLATION,73
2007,25,ARSON,82
2007,25,ASSAULT,1463
2007,25,BATTERY,4526
2007,25,BURGLARY,1611
2007,25,CRIM SEXUAL ASSAULT,94
2007,25,CRIMINAL DAMAGE,3197
2007,25,CRIMINAL SEXUAL ASSAULT,7
2007,25,CRIMINAL TRESPASS,555
2007,25,DECEPTIVE PRACTICE,809
2007,25,GAMBLING,34
2007,25,HOMICIDE,22
2007,25,INTERFERENCE WITH PUBLIC OFFICER,66
2007,25,INTIMIDATION,15
2007,25,KIDNAPPING,19
2007,25,LIQUOR LAW VIOLATION,77
2007,25,MOTOR VEHICLE THEFT,1477
2007,25,NARCOTICS,2364
2007,25,OBSCENITY,2
2007,25,OFFENSE INVOLVING CHILDREN,212
2007,25,OTHER OFFENSE,1793
2007,25,PROSTITUTION,610
2007,25,PUBLIC PEACE VIOLATION,324
2007,25,RITUALISM,1
2007,25,ROBBERY,833
2007,25,SEX OFFENSE,104
2007,25,STALKING,10
2007,25,THEFT,4188
2007,25,WEAPONS VIOLATION,228
2008,01,ARSON,1
2008,01,ASSAULT,468
2008,01,BATTERY,946
2008,01,BURGLARY,152
2008,01,CRIM SEXUAL ASSAULT,24
2008,01,CRIMINAL DAMAGE,674
2008,01,CRIMINAL SEXUAL ASSAULT,1
2008,01,CRIMINAL TRESPASS,539
2008,01,DECEPTIVE PRACTICE,1284
2008,01,GAMBLING,3
2008,01,HOMICIDE,3
2008,01,INTERFERENCE WITH PUBLIC OFFICER,12
2008,01,INTIMIDATION,12
2008,01,KIDNAPPING,3
2008,01,LIQUOR LAW VIOLATION,19
2008,01,MOTOR VEHICLE THEFT,290
2008,01,NARCOTICS,409
2008,01,OFFENSE INVOLVING CHILDREN,25
2008,01,OTHER OFFENSE,659
2008,01,PROSTITUTION,79
2008,01,PUBLIC PEACE VIOLATION,89
2008,01,ROBBERY,300
2008,01,SEX OFFENSE,47
2008,01,STALKING,2
2008,01,THEFT,6109
2008,01,WEAPONS VIOLATION,29
2008,02,ARSON,5
2008,02,ASSAULT,827
2008,02,BATTERY,2336
2008,02,BURGLARY,588
2008,02,CRIM SEXUAL ASSAULT,37
2008,02,CRIMINAL DAMAGE,1100
2008,02,CRIMINAL SEXUAL ASSAULT,2
2008,02,CRIMINAL TRESPASS,547
2008,02,DECEPTIVE PRACTICE,240
2008,02,GAMBLING,54
2008,02,HOMICIDE,21
