hour,district,primary_type,count,average
0,04,ROBBERY,856,35.666666666666664
0,04,SEX OFFENSE,201,8.375
0,04,STALKING,17,0.7083333333333334
0,04,THEFT,4535,188.95833333333334
0,04,WEAPONS VIOLATION,588,24.5
0,05,ARSON,48,2.0
0,05,ASSAULT,1028,42.833333333333336
0,05,BATTERY,3965,165.20833333333334
0,05,BURGLARY,961,40.041666666666664
0,05,CONCEALED CARRY LICENSE VIOLATION,3,0.125
0,05,CRIM SEXUAL ASSAULT,192,8.0
0,05,CRIMINAL DAMAGE,2886,120.25
0,05,CRIMINAL SEXUAL ASSAULT,60,2.5
0,05,CRIMINAL TRESPASS,300,12.5
0,05,DECEPTIVE PRACTICE,1485,61.875
0,05,GAMBLING,8,0.3333333333333333
0,05,HOMICIDE,66,2.75
0,05,HUMAN TRAFFICKING,2,0.08333333333333333
0,05,INTERFERENCE WITH PUBLIC OFFICER,47,1.9583333333333333
0,05,INTIMIDATION,6,0.25
0,05,KIDNAPPING,17,0.7083333333333334
0,05,LIQUOR LAW VIOLATION,10,0.4166666666666667
0,05,MOTOR VEHICLE THEFT,1186,49.416666666666664
0,05,NARCOTICS,1091,45.458333333333336
0,05,OBSCENITY,3,0.125
0,05,OFFENSE INVOLVING CHILDREN,572,23.833333333333332
0,05,OTHER OFFENSE,1374,57.25
0,05,PROSTITUTION,178,7.416666666666667
0,05,PUBLIC PEACE VIOLATION,66,2.75
0,05,ROBBERY,701,29.208333333333332
0,05,SEX OFFENSE,164,6.833333333333333
0,05,STALKING,26,1.0833333333333333
0,05,THEFT,2949,122.875
0,05,WEAPONS VIOLATION,532,22.166666666666668
0,06,ARSON,45,1.875
0,06,ASSAULT,1321,55.041666666666664
0,06,BATTERY,5122,213.41666666666666
0,06,BURGLARY,1242,51.75
0,06,CONCEALED CARRY LICENSE VIOLATION,5,0.20833333333333334
0,06,CRIM SEXUAL ASSAULT,201,8.375
0,06,CRIMINAL DAMAGE,3466,144.41666666666666
0,06,CRIMINAL SEXUAL ASSAULT,81,3.375
0,06,CRIMINAL TRESPASS,449,18.708333333333332
0,06,DECEPTIVE PRACTICE,2787,116.125
0,06,GAMBLING,27,1.125
0,06,HOMICIDE,66,2.75
0,06,HUMAN TRAFFICKING,4,0.16666666666666666
0,06,INTERFERENCE WITH PUBLIC OFFICER,100,4.166666666666667
0,06,INTIMIDATION,14,0.5833333333333334
0,06,KIDNAPPING,15,0.625
0,06,LIQUOR LAW VIOLATION,28,1.1666666666666667
0,06,MOTOR VEHICLE THEFT,1831,76.29166666666667
0,06,NARCOTICS,1513,63.041666666666664
0,06,OBSCENITY,4,0.16666666666666666
0,06,OFFENSE INVOLVING CHILDREN,625,26.041666666666668
0,06,OTHER OFFENSE,1884,78.5
0,06,PROSTITUTION,108,4.5
0,06,PUBLIC INDECENCY,1,0.041666666666666664
0,06,PUBLIC PEACE VIOLATION,94,3.9166666666666665
0,06,ROBBERY,1097,45.708333333333336
0,06,SEX OFFENSE,192,8.0
0,06,STALKING,38,1.5833333333333333
0,06,THEFT,4649,193.70833333333334
0,06,WEAPONS VIOLATION,625,26.041666666666668
0,07,ARSON,79,3.2916666666666665
0,07,ASSAULT,1332,55.5
0,07,BATTERY,6143,255.95833333333334
0,07,BURGLARY,1167,48.625
0,07,CONCEALED CARRY LICENSE VIOLATION,6,0.25
0,07,CRIM SEXUAL ASSAULT,253,10.541666666666666
0,07,CRIMINAL DAMAGE,3211,133.79166666666666
0,07,CRIMINAL SEXUAL ASSAULT,89,3.7083333333333335
0,07,CRIMINAL TRESPASS,328,13.666666666666666
0,07,DECEPTIVE PRACTICE,1526,63.583333333333336
0,07,GAMBLING,47,1.9583333333333333
0,07,HOMICIDE,81,3.375
0,07,HUMAN TRAFFICKING,4,0.16666666666666666
0,07,INTERFERENCE WITH PUBLIC OFFICER,86,3.5833333333333335
0,07,INTIMIDATION,5,0.20833333333333334
0,07,KIDNAPPING,10,0.4166666666666667
