TSNE Component 1,TSNE Component 2,cluster,Beat
19.199755,4.023017,1,111
19.11731,3.4085531,1,112
6.6070323,-0.2048715,4,113
14.470016,1.266069,3,114
7.8778834,-5.4732637,4,121
15.987853,3.1140306,3,122
18.00658,4.980008,1,123
15.88659,1.3453678,3,124
4.4433875,11.322784,0,131
5.9646783,7.394903,4,132
4.775428,9.156082,0,133
5.721013,8.802037,0,211
-1.5357958,11.187798,0,212
-2.5554042,3.1392772,2,213
-2.2024817,4.003098,2,214
-5.595595,-4.8939586,2,215
-6.3156724,-2.8994343,2,221
3.8558943,12.37496,0,222
-3.0698006,4.117304,2,223
-7.8124323,-3.6072404,2,224
-5.708172,-10.606357,2,225
-7.690279,-5.624516,2,231
-6.968638,-5.9225707,2,232
-1.2654864,-7.8861294,2,233
15.048066,3.2466466,3,234
-0.9670527,-8.483712,2,235
-9.712027,-5.0866785,2,311
-6.0839105,11.246987,0,312
-5.1614966,4.27366,2,313
-3.3413231,3.3999047,2,314
-0.5706999,11.907051,0,321
-4.524624,6.0258546,2,322
0.3158321,12.535861,0,323
-3.3998663,10.934323,0,324
1.0569565,13.352691,0,331
-3.700906,9.214585,0,332
-5.680057,-2.191915,2,333
-4.1669836,7.7303257,0,334
-4.5920544,5.3325295,0,411
-1.0387971,6.7920027,0,412
-0.8164246,6.6915264,0,413
1.6300663,12.67257,0,414
-0.86259323,16.451696,0,421
-7.184748,1.8340682,2,422
-0.11469916,15.6161785,0,423
-5.05342,11.205599,0,424
-1.7142508,10.53266,0,431
-0.2730219,10.079874,0,432
-4.268096,0.8837539,2,433
-3.9355245,-8.030392,2,434
-0.078916304,14.689485,0,511
-2.4936411,10.564155,0,512
-0.4329547,11.235215,0,513
-11.262866,0.6102353,2,522
-2.7284138,8.619556,0,523
-0.49048793,9.095612,0,524
-9.625761,-2.8768384,2,531
-8.533321,-5.351248,2,532
-4.768159,12.055915,0,533
-4.551055,9.720756,0,611
-1.1363502,13.838141,0,612
-4.054124,8.124285,0,613
-3.8314302,3.8600318,2,614
-1.8529296,13.823587,0,621
-1.5212669,1.6180081,2,622
-0.68439555,12.874718,0,623
-0.529648,15.565487,0,624
-0.7968351,15.456739,0,631
2.083286,12.515055,0,632
-6.938766,1.176892,2,633
-6.702238,2.318536,2,634
-6.7690926,-5.198629,2,711
-11.002227,1.0494485,2,712
-8.338005,-2.6604488,2,713
-5.364156,-12.1426935,2,714
-6.0696716,-11.887029,2,715
-12.172784,0.66089433,2,722
-9.08424,-3.5767965,2,723
-10.546405,-5.162639,2,724
-11.319445,-1.39007,2,725
-6.8623357,-11.652913,2,726
-9.835315,2.4139125,2,731
-7.951935,-7.205903,2,732
-9.930551,-5.794802,2,733
-7.757165,-11.382309,2,734
-8.255359,-4.75654,2,735
3.1859725,-1.456455,4,811
2.150586,-2.631518,4,812
3.9073322,10.946378,0,813
0.46493325,-6.618508,2,814
2.2190614,6.648389,0,815
8.890101,-0.33036998,4,821
-5.5802784,7.893697,0,822
0.9219935,15.475785,0,823
-5.553315,2.819892,2,824
-9.151868,1.3568565,2,825
-2.606027,11.594496,0,831
-5.9763885,3.5457387,2,832
5.314646,8.497261,0,833
2.696362,7.4843287,0,834
1.9881319,9.954484,0,835
-6.2418885,-11.027093,2,911
8.025977,0.682758,4,912
-2.3773792,-1.9339446,2,913
8.23138,3.9580934,4,914
-2.5008132,2.0072668,2,915
-6.761208,-10.3852215,2,921
1.2600058,3.4553933,4,922
-6.664963,-1.7880913,2,923
2.3554308,4.272613,0,924
-1.0021808,-4.4042544,2,925
-9.884177,-8.360153,2,931
-8.230765,-9.788346,2,932
-9.927919,-6.543501,2,933
-8.827579,-7.358738,2,934
-4.9670224,-11.386772,2,935
-12.358318,7.3361993,0,1011
-9.908829,-3.2926514,2,1012
-0.19745329,3.5061955,2,1013
-9.782528,1.2250544,2,1014
-11.465811,7.653142,0,1021
-9.859949,-1.2105709,2,1022
-5.4637766,-6.605106,2,1023
-10.524947,0.20770349,2,1024
0.59094554,4.6829123,0,1031
-7.4461412,-9.956077,2,1032
-10.600106,-6.5023246,2,1033
-2.8900385,-1.4871373,2,1034
-8.146712,-0.205837,2,1111
-14.160632,6.042047,0,1112
-12.648328,-5.4233756,2,1113
-6.27813,-12.788236,2,1114
-12.570645,-3.5993154,2,1115
-14.324359,6.0140314,0,1121
-12.896188,5.840674,0,1122
-11.322166,2.545395,2,1123
-9.785457,-4.4370866,2,1124
-4.224719,-11.83887,2,1125
